YearAndSession,BillNumber,Title,Synopsis,bill_summary,programmatic,program_start_year,program_end_year,funding,responsible_party,stakeholders,access_to_capital_summary,access_to_capital_score
2025 Regular Session,HB0025,Environment – Reservoir Augmentation Permit – Establishment,"Establishing the Reservoir Augmentation Program in the Department of the Environment; defining ""reservoir augmentation"" as the planned placement of reclaimed water into a surface water reservoir used as a source for a drinking water treatment facility; requiring a person to obtain a permit from the Department to perform reservoir augmentation; establishing an Indirect Potable Reuse Pilot Program in the Department to make recommendations on whether the program should be extended or made permanent and any statutory or regulatory changes necessary; etc.","The bill establishes the Reservoir Augmentation Program in the Maryland Department of the Environment, requiring permits for reservoir augmentation using reclaimed water, and sets rules for issuing, renewing, and revoking these permits, along with funding and reporting requirements.",True,2025,2030,0.0,Maryland Department of the Environment,"Public water systems, environmental agencies, and communities relying on surface water reservoirs","The program could improve access to safe, reliable water sources, potentially reducing costs and barriers for small water systems and communities.",7.0
2025 Regular Session,HB0027,Estates and Trusts - Compensation of Guardians of Property and Trustees,Clarifying the commissions that a guardian of the property may charge; authorizing a trustee of a trust to charge compensation that is reasonable under the circumstances; and authorizing trustees who are financial institutions or members of the Maryland Bar to charge compensation that is reasonable under the circumstances and calculated in accordance with a schedule of rates filed with an appropriate agency.,"This bill clarifies and updates the rules regarding the compensation that guardians of property and trustees of trusts can charge, including establishing reasonable compensation standards, schedules of rates, and procedures for approval and notification.",False,2025,2025,0.0,Maryland Courts and the Office of the Commissioner of Financial Regulation,"Guardians of property, trustees, and beneficiaries of estates and trusts in Maryland",The bill's impact on access to capital is minimal as it mainly addresses legal and procedural standards for trustee and guardian compensation.,2.0
2025 Regular Session,HB0031,Consumer Protection - Right to Repair - Powered Wheelchairs,"Requiring, in order to make repairs to powered wheelchairs, that a certain manufacturer make available certain documentation, parts, embedded software, firmware, and tools to a certain independent repair provider or owner of a powered wheelchair; providing that a violation of the Act constitutes an unfair, abusive, or deceptive trade practice subject to certain enforcement and penalty provisions; and applying the Act prospectively.","This bill requires manufacturers of powered wheelchairs to provide independent repair providers and owners with access to documentation, parts, embedded software, firmware, and tools necessary for repairs, under fair and reasonable terms and costs.",True,2025,0,0.0,Maryland Department of Commerce or relevant state agency responsible for consumer protection and medical device regulation,"Owners of powered wheelchairs, independent repair providers, and manufacturers of powered wheelchairs in Maryland","The program has high potential to impact small business owners by reducing costs and barriers to repairing powered wheelchairs, thus improving access to repair services.",8.0
2025 Regular Session,HB0032,Maryland Department of Health - Forensic Review Board - Established,Requiring the Maryland Department of Health to establish a forensic review board at facilities that have charge of persons who have been committed to the facility as not criminally responsible; authorizing a forensic review board to make recommendations relating to the release or rehabilitation of a committed person; requiring the board to give notice at least 10 days before a meeting concerning the committed person; requiring the board to give consideration to a written statement offered by the committed person to the board; etc.,"The bill establishes forensic review boards at facilities with persons committed as not criminally responsible, to review their eligibility for release and make recommendations. It also creates a Community Forensic Aftercare Program to monitor these individuals on conditional release.",True,2025,0,0.0,Maryland Department of Health,"Persons committed as not criminally responsible, mental health professionals, courts, and the Maryland Department of Health",The bill's focus is on monitoring and review processes rather than direct financial support or capital access programs.,1.0
2025 Regular Session,HB0033,Department of Service and Civic Innovation - Maryland Corps Program Service Year Option Pathways - Revisions,Altering the duties of the Department of Service and Civic Innovation; renaming the Governor's Volunteer Council to be the Governor's Commission on Service and Volunteerism; altering certain requirements relating to qualifications for applicants and compensation for participants in the Young Adult Service Year Option Pathway and the Maryland Service Year Option Pathway; altering certain reporting requirements; and repealing the Executive Fellows Program.,"The bill revises the Maryland Corps Program, establishing two new pathways: the Young Adult Service Year Pathway and the Maryland Service Year Pathway. It sets program goals, funding, participant requirements, and reporting obligations, and renames the Governor’s Volunteer Council to the Governor’s Commission on Service and Volunteerism.",True,2025,2026,50000000.0,Department of Service and Civic Innovation,"Young adults, Maryland residents, state and local government agencies, community organizations, and employers","The bill creates structured pathways with stipends and awards, potentially increasing access to capital for participants and organizations involved.",8.0
2025 Regular Session,HB0036,Department of Aging – Aging Services – Program Repeal and Consolidation,"Repealing provisions of law requiring the Secretary of Aging to develop certain congregate housing and assisted living programs for seniors; repealing the Interagency Committee on Aging Services and transferring certain responsibilities of the Committee to the Department of Aging; requiring the Department, beginning in June 2025, in coordination with area stakeholders, to conduct program transition planning and to co-design the new, consolidated program required by the Act; etc.","The bill repeals certain aging programs and committees, consolidates responsibilities into the Department of Aging, and establishes a new program to provide a single point of entry for services to older adults, including assessments and access to various support services.",True,2025,2026,0.0,Department of Aging,Older adults in Maryland and their caregivers,The bill's focus is on service coordination and access rather than direct financial support or capital access for small businesses.,2.0
2025 Regular Session,HB0039,Public Health - Repeal of Prohibition on Transfer of Human Immunodeficiency Virus (Carlton R. Smith Act),Repealing the prohibition on an individual from knowingly transferring or attempting to transfer the human immunodeficiency virus to another individual.,"The bill repeals the existing prohibition on knowingly transferring or attempting to transfer the human immunodeficiency virus (HIV) to another individual, effectively removing criminal penalties for such actions.",False,2025,2025,0.0,Maryland Department of Health,Individuals living with HIV and the general public,The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0040,Natural Resources - Fishing Licenses and Stamps - Alterations,"Altering the fees for resident consolidated senior sport fishing licenses, angler's licenses, and trout stamps; and repealing the exemption from the requirement to obtain a trout stamp under certain circumstances for a holder of a resident consolidated senior sport fishing license.","The bill increases fees for certain fishing licenses and stamps in Maryland, repeals some exemptions, and establishes a program for discounted licenses for Purple Heart recipients.",False,2025,2025,0.0,Maryland Department of Natural Resources,"Maryland residents who fish, especially senior citizens and disabled persons, and military service members",The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0041,Election Law - Petitions for the Formation of a New Political Party - Process,Altering the time periods during which a petition for the formation of a new political party or additional signatures to a petition may not be filed; and prohibiting signatures submitted with a petition that was officially determined as not meeting certain legal requirements from being resubmitted with a subsequent petition.,"The bill amends Maryland election law to change the time periods during which petitions for the formation of a new political party can be filed, and prohibits resubmission of signatures if a petition fails to meet legal requirements.",False,2025,2025,0.0,Maryland State Board of Elections,Individuals and groups interested in forming new political parties in Maryland,The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0043,Federally Qualified Health Centers Grant Program - Acquisition of Land,"Authorizing the Board of Public Works, on recommendation of the Secretary of Health, to make grants under the Federally Qualified Health Centers Grant Program to counties, municipal corporations, and nonprofit corporations for the acquisition of land for the construction or use of a federally qualified health center.","The bill authorizes the Maryland Board of Public Works, based on the recommendation of the Secretary of Health, to provide grants to counties, municipal corporations, and nonprofit organizations for acquiring land to build or use federally qualified health centers, as part of the existing Federally Qualified Health Centers Grant Program.",True,2025,0,0.0,"Board of Public Works, Maryland Department of Health","Counties, municipal corporations, nonprofit organizations, and residents who will access federally qualified health centers",The program has a high potential to impact small business owners and organizations seeking to acquire land for health centers by providing grants for land acquisition.,8.0
2025 Regular Session,HB0046,Public Health - Cannabis Public Health Advisory Council - Membership,"Altering the membership of the Cannabis Public Health Advisory Council to include the Administrator of the Motor Vehicle Administration, or the Administrator's designee, and the Executive Director of the Office of Social Equity in the Maryland Cannabis Administration, or the Executive Director's designee.","This bill amends the membership composition of the Cannabis Public Health Advisory Council in Maryland, adding new members appointed by the Governor, including representatives from historically black colleges, health care providers, pharmacists, researchers, and industry stakeholders.",False,2025,0,0.0,Maryland Cannabis Administration and other state agencies involved in public health and cannabis regulation,"Public health officials, cannabis industry stakeholders, healthcare providers, researchers, and residents of Maryland",The bill does not directly establish or fund programs that impact access to capital for small business owners.,1.0
2025 Regular Session,HB0049,Environment - Building Energy Performance Standards - Alterations and Analysis,"Altering the requirements for certain regulations adopted by the Department of the Environment relating to building energy performance standards to include certain exclusions, considerations, and a certain  annual reporting fee to cover certain costs; requiring the Department to certify a certain building energy performance standards program adopted by a county under certain circumstances; requiring the Department to conduct an analysis of the potential costs and benefits of certain building energy performance standards policy options; etc.","This bill establishes regulations and standards for building energy performance in Maryland, including targets, exemptions, and alternative compliance pathways, and creates a program for fees and incentives related to greenhouse gas emissions and energy use in large buildings.",False,2025,2040,0.0,Maryland Department of the Environment,"Owners and operators of large commercial and multifamily buildings in Maryland, including government agencies and private sector entities","The bill introduces fees, waivers, and incentives that could influence the financial strategies of building owners, potentially impacting their access to capital for energy efficiency projects.",6.0
2025 Regular Session,HB0054,Health Services Cost Review Commission – User Fee Assessment – Repeal of Sunset,Repealing the termination date for a certain provision of law related to the maximum amount of total user fees that may be assessed on hospitals and related institutions by the Health Services Cost Review Commission.,The bill repeals the sunset date for a law that limits the maximum amount of user fees that the Health Services Cost Review Commission can assess on hospitals and related institutions in Maryland.,False,2022,2025,0.0,Health Services Cost Review Commission,Hospitals and related health institutions in Maryland,The bill does not directly impact access to capital for small business owners or healthcare providers.,1.0
2025 Regular Session,HB0056,Procurement - State Department of Education - Local Food Purchasing Program,"Requiring the State Department of Education, in coordination with the Department of General Services and the Department of Agriculture, to establish a program to procure, when funding is available, local food for local school systems with preference to providers that are certified local farms or certified Chesapeake invasive species providers; altering the percentage price preference adopted by the Board of Public Works for locally grown food from 5% to 10%; etc.","The bill requires the Maryland State Department of Education to establish a program to procure local food for schools, focusing on food grown within a 200-mile radius, at certified local farms, or from Chesapeake invasive species providers. It also creates a Certified Local Farm and Fish Program to encourage procurement from local farms and invasive species providers, with a goal of 20% of procurement contracts.",True,2025,0,0.0,"Maryland State Department of Education, Department of Agriculture, Department of General Services","Local farmers, Chesapeake invasive species providers, students, local school systems","The bill promotes local procurement and supports local farms and invasive species providers, which could improve their access to government contracts and revenue.",7.0
2025 Regular Session,HB0059,Property Tax – Tax Sales – Revisions,Authorizing a tax collector to withhold from tax sale certain property occupied by an heir of a deceased owner of the property; requiring that certain owner-occupied property and certain property occupied by an heir of a deceased owner of the property be withheld from tax sale; requiring each county to establish a registry for interested parties or the Tax Sale Ombudsman to designate property to be withheld from tax sale; requiring the State Department of Assessments and Taxation to assist each county in creating and maintaining the registry; etc.,"This bill revises Maryland's property tax sale laws by establishing rules for withholding certain properties from tax sales, setting maximum redemption rates, updating notice requirements, and creating a Homeowner Protection Program to help vulnerable homeowners.",True,2026,9999,0.0,Maryland Department of Assessments and Taxation,"Homeowners, heirs, and vulnerable property owners in Maryland","The program aims to help homeowners retain their properties and avoid foreclosure, which can improve their access to capital by maintaining property ownership.",7.0
2025 Regular Session,HB0063,State Board of Public Accountancy - Sunset Extension and Report,"Continuing the State Board of Public Accountancy in accordance with the provisions of the Maryland Program Evaluation Act (sunset law) by extending to July 1, 2030, the termination provisions relating to the statutory and regulatory authority of the Board; and requiring the Maryland Department of Labor to submit a certain report to the Joint Audit and Evaluation Committee on or before July 1, 2028.","The bill extends the sunset date for the State Board of Public Accountancy to July 1, 2030, and requires a report to be submitted by the Maryland Department of Labor by July 1, 2028.",False,2025,2030,0.0,Maryland Department of Labor,Public accountants and related professionals in Maryland,The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0071,Education - Holocaust Education Assistance Grant Program - Established,"Establishing the Holocaust Education Assistance Grant Program in the State Department of Education to assist local school systems with Holocaust education in public schools; authorizing a local school system to apply to the Department for a grant from the Program to be used for teacher training or teaching materials; and requiring the Governor to include in the annual budget bill an appropriation of $50,000 for the Program.",The bill establishes the Holocaust Education Assistance Grant Program within the Maryland State Department of Education to support local school systems with Holocaust education through grants for teacher training and teaching materials.,True,2025,2025,50000.0,Maryland State Department of Education,Public school students and educators in Maryland,"The program provides targeted grants for Holocaust education, which could improve access to educational resources but is limited in scope.",4.0
2025 Regular Session,HB0073,State Finance and Procurement - State Leasing of Real Property,"Increasing the noncompetitive threshold for State leases of real property from less than 2,500 square feet to up to 5,000 square feet; altering the time frame during which the State is required to advertise the need for rental of building space from at least 30 days to 20 days before proposals for lease are due; requiring the advertisement to be in certain newspapers providing notice to at least the people of the affected locality; and requiring the notice to be posted on the Department's website and eMaryland Marketplace.","The bill increases the noncompetitive threshold for State leases of real property from 2,500 to 5,000 square feet, and changes the advertising requirements for leasing needs, including reducing the notice period from 30 to 20 days and requiring advertising on the eMaryland Marketplace platform.",False,2025,0,0.0,Maryland Department of General Services,State government agencies and entities seeking to lease real property for state use,The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0075,Election Law – Special Elections,Altering requirements for scheduling special elections to fill vacancies in a county council or in the office of chief executive officer or county executive; requiring the State Administrator to conduct a special election in accordance with State law and regulations if the State Administrator determines a conflict exists between State law and regulations and a county charter or other county law relating to the conduct of a special election; etc.,"The bill modifies the rules for scheduling and conducting special elections in Maryland, including provisions for when they can be held, how they are conducted, and the process for mail-in ballots.",True,2025,2025,0.0,Maryland State Board of Elections,"Voters and election officials in Maryland, especially those involved in special elections for county councils and county executives.",The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0088,Estates and Trusts - Maryland Trust Decanting Act - Notification and Document Transmittal,Specifying the manner in which notice regarding an exercise of the decanting power or the sending of a document under the Maryland Trust Decanting Act is required to be provided.,"This bill amends the Maryland Trust Decanting Act to specify acceptable methods for providing notice and transmitting documents related to decanting, including personal service, mail, courier, and agreed-upon electronic methods.",False,2025,2025,0.0,Maryland State Department of Estates and Trusts (or equivalent agency responsible for estate law enforcement),"Trustees, beneficiaries, and individuals involved in estate decanting processes in Maryland",The bill primarily clarifies legal procedures for trust decanting and does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0089,Criminal Law - Crimes Relating to Animals - Conviction and Sentencing,Establishing that certain crimes relating to animals do not include certain activities; establishing that each animal harmed in a violation of a prohibition against animal cruelty is a separate offense and shall be deemed an individual victim for purposes of the sentencing guidelines stacking rule; establishing that a conviction for a crime relating to animals may not merge with a conviction for any other crime based on the act establishing the violation; etc.,"The bill clarifies and enhances laws related to animal cruelty in Maryland. It establishes that each animal harmed in a cruelty violation is a separate offense and victim, prevents convictions under animal cruelty laws from merging with other crimes, and allows sentences to be separate and consecutive or concurrent. It also exempts certain activities like veterinary practices, research, and humane hunting from animal cruelty laws.",True,2025,2025,0.0,Maryland Department of Public Safety and Correctional Services or relevant law enforcement agencies,"Animals, animal welfare organizations, law enforcement, and individuals involved in activities like veterinary care, research, hunting, and farming",The bill primarily focuses on legal definitions and sentencing related to animal cruelty and does not directly impact access to capital for small businesses.,1.0
2025 Regular Session,HB0092,"Heating, Ventilation, Air–Conditioning, and Refrigeration Contractors – License Restoration","Extending from 90 days to 4 years the time period during which an individual who has held a heating, ventilation, air-conditioning, and refrigeration contractor license may apply for license restoration after expiration.","The bill extends the period during which a heating, ventilation, air-conditioning, and refrigeration contractor license can be restored after expiration from 90 days to 4 years.",False,2025,2025,0.0,"Maryland State Board of Heating, Ventilation, Air–Conditioning, and Refrigeration Contractors","Heating, ventilation, air-conditioning, and refrigeration contractors in Maryland",The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0094,Opioid-Associated Disease Prevention and Outreach Programs - Appeals and Membership of Standing Advisory Committee,"Authorizing a local health department or community-based organization to appeal to the Secretary of Health or the Secretary's designee rather than to the Deputy Secretary for Public Health Services, an adverse decision of the Maryland Department of Health and a local health officer regarding an application for authorization to operate an Opioid-Associated Disease Prevention and Outreach Program; etc.","The bill authorizes local health departments and community-based organizations to establish opioid prevention and outreach programs, outlines the application and appeal process for program authorization, and establishes a standing advisory committee to provide technical assistance and guidance for these programs.",True,2025,0,0.0,Maryland Department of Health,"Individuals affected by opioid use, local health departments, community organizations, law enforcement, healthcare providers, and families of individuals who inject drugs.","The bill's focus is on establishing and supporting opioid prevention programs, which may indirectly impact access to resources for substance use treatment, but it does not directly address access to capital for small businesses.",3.0
2025 Regular Session,HB0099,Anne Arundel County - Class A (Off-Sale) and Class D (Off-Sale) Licenses - Population Ratio Quota,Establishing a population ratio quota for certain Class A (off-sale) and Class D (off-sale) licenses in Anne Arundel County; specifying a certain official map to be used to identify certain tax assessment districts for purposes of the population ratio quota; and prohibiting the Board of License Commissioners for Anne Arundel County from approving the transfer of certain alcoholic beverages licenses under certain circumstances.,"The bill establishes a population ratio quota for certain off-sale alcohol licenses in Anne Arundel County, limiting the number of licenses based on the population of specific assessment districts, and restricts license transfers outside these districts.",False,2025,2028,0.0,Anne Arundel County Board of License Commissioners,"Alcohol license holders, residents of Anne Arundel County, businesses seeking alcohol licenses","The bill's restrictions on license transfers and issuance could limit the growth of alcohol-related businesses and affect their access to licenses, which are a form of capital or business asset.",4.0
2025 Regular Session,HB0100,Insurance Pooling - Public Entity - Definition,"Altering the definition of ""public entity"" to include a Resilience Authority for purposes of insurance pooling.","The bill amends the definition of 'public entity' to include Resilience Authorities, allowing them to participate in insurance pooling for casualty, property, or health insurance, or to self-insure against these risks.",False,2025,0,0.0,Maryland State Insurance Department or relevant local government agencies,"Resilience Authorities, local governments, and public entities involved in resilience infrastructure projects","The bill potentially increases access to insurance and self-insurance options for Resilience Authorities, which could improve their ability to fund resilience projects.",6.0
2025 Regular Session,HB0102,Family and Medical Leave Insurance Program - Revisions,"Defining ""anchor date"" to establish certain reference points for the calculation of a certain covered employee's average weekly wage and eligibility for increases in weekly benefits under the Family Medical Leave and Insurance Program; requiring the Maryland Department of Labor to adopt regulations establishing an optional self-employed enrollment program governing the participation of self-employed individuals in the Program; repealing certain requirements related to  contributions made by certain participating individuals; etc.","This bill revises the Maryland Family and Medical Leave Insurance Program by defining key terms, establishing an optional self-employed enrollment program, adjusting contribution and benefit calculation rules, and setting program timelines and reporting requirements.",True,2025,2028,0.0,Maryland Department of Labor,"Employees, self-employed individuals, employers, and healthcare providers in Maryland","The bill's impact on access to capital is indirect, primarily through the establishment of a self-employed enrollment program and contribution rules, which could influence financial stability for small business owners.",4.0
2025 Regular Session,HB0104,Maryland Farms and Families Fund – Purpose and Use – Alterations,"Altering the purpose and use of the Maryland Farms and Families Fund to match purchases made with FMNP, SNAP, and WIC benefits at certain farmers markets and farm stands, support nonprofit farmers markets by providing logistical and marketing support to increase the use of federal nutrition programs at these markets, and to support nonprofit  organizations or other responsible persons to implement the Program.",The bill alters the purpose and use of the Maryland Farms and Families Fund to support programs that increase access to fresh fruits and vegetables for food-insecure Maryland residents by matching federal nutrition benefits at farmers markets and supporting nonprofit organizations and farmers markets in implementing these programs.,True,2025,2030,400000.0,Maryland Department of Agriculture,"Food-insecure Maryland residents, farmers, nonprofit organizations, farmers markets",The program has a high potential to directly impact small business owners (farmers and farmers markets) by providing funding and support to increase sales through federal nutrition benefits.,8.0
2025 Regular Session,HB0107,Consumer Protection - Automatic Renewals,"Requiring a person who makes an automatic renewal offer to consumers to allow a consumer to cancel the automatic renewal in a cost-effective, timely, and easy-to-use manner; requiring automatic renewal offers to be displayed in a certain manner and contain certain information; establishing that compliance with certain regulations or a certain license shall be considered to be compliance with the Act; establishing that a violation of the Act is an unfair, abusive, or deceptive trade practice; etc.","This bill regulates automatic renewal offers by requiring clear disclosures, easy cancellation options, and prior notice to consumers, and prohibits automatic charges without consumer consent.",False,2026,0,0.0,Maryland Department of Commerce or relevant regulatory agency,Consumers and businesses offering automatic renewal services in Maryland,The bill primarily focuses on consumer protection and does not directly impact access to capital for small businesses.,1.0
2025 Regular Session,HB0114,Pesticide and Pest Control - Revisions to Pesticide Applicator's Law and Repeal of Obsolete Provisions,"Establishing requirements for the commercial application of general use pesticides, the commercial application of restricted use pesticides, and the private application of restricted use pesticides; requiring a certified private applicator to ensure that certain individuals working under the certified applicator's supervision meet certain requirements; specifying the responsibility and liability of certified applicators for the application of certain pesticides; etc.","The bill revises Maryland's pesticide laws by establishing requirements for the application of general use and restricted use pesticides, including certification and supervision rules, and repeals obsolete provisions related to certain pesticides and antifouling paints.",True,2025,2025,0.0,Maryland Department of Agriculture,"Pesticide applicators, pest control businesses, agricultural producers, commercial boatyards, vessel owners, and the general public in Maryland",The bill does not directly impact access to capital for small business owners.,1.0
