YearAndSession,BillNumber,Title,Synopsis,bill_summary,responsible_party,stakeholders,decrease_small_business_failure_summary,decrease_small_business_failure_score
2025 Regular Session,HB0025,Environment – Reservoir Augmentation Permit – Establishment,"Establishing the Reservoir Augmentation Program in the Department of the Environment; defining ""reservoir augmentation"" as the planned placement of reclaimed water into a surface water reservoir used as a source for a drinking water treatment facility; requiring a person to obtain a permit from the Department to perform reservoir augmentation; establishing an Indirect Potable Reuse Pilot Program in the Department to make recommendations on whether the program should be extended or made permanent and any statutory or regulatory changes necessary; etc.","The bill establishes the Reservoir Augmentation Program within the Maryland Department of the Environment, requiring permits for reservoir augmentation projects involving reclaimed water, and sets regulations, fees, and reporting requirements to support safe and sustainable water management.",Maryland Department of the Environment,"Water utilities, environmental agencies, and residents relying on surface water reservoirs for drinking water","The program includes permit requirements, fees, and oversight that could impact small businesses involved in water treatment and infrastructure projects, but the bill aims to ensure safety and sustainability rather than directly reduce failure rates.",4.0
2025 Regular Session,HB0027,Estates and Trusts - Compensation of Guardians of Property and Trustees,Clarifying the commissions that a guardian of the property may charge; authorizing a trustee of a trust to charge compensation that is reasonable under the circumstances; and authorizing trustees who are financial institutions or members of the Maryland Bar to charge compensation that is reasonable under the circumstances and calculated in accordance with a schedule of rates filed with an appropriate agency.,"The bill clarifies and updates the laws regarding the compensation that guardians of property and trustees of trusts can charge, including establishing reasonable rates and procedures for filing and reviewing those rates.",Maryland courts and the Office of the Commissioner of Financial Regulation,"Guardians of property, trustees of trusts, and the beneficiaries of trusts and guardianships in Maryland.",The bill's provisions for trustees' compensation and filing procedures are unlikely to have a direct impact on small business failure rates.,2.0
2025 Regular Session,HB0031,Consumer Protection - Right to Repair - Powered Wheelchairs,"Requiring, in order to make repairs to powered wheelchairs, that a certain manufacturer make available certain documentation, parts, embedded software, firmware, and tools to a certain independent repair provider or owner of a powered wheelchair; providing that a violation of the Act constitutes an unfair, abusive, or deceptive trade practice subject to certain enforcement and penalty provisions; and applying the Act prospectively.","The bill requires manufacturers of powered wheelchairs to provide independent repair providers and owners with access to documentation, parts, embedded software, firmware, and tools necessary for repairs, under fair and reasonable terms and costs.",Maryland Department of Consumer Protection or relevant state agency overseeing consumer rights and product repairs.,Owners of powered wheelchairs and independent repair providers in Maryland.,"The bill aims to reduce small business failure by enabling independent repair providers to access necessary repair resources, thereby increasing competition and opportunities for small businesses in the repair industry.",8.0
2025 Regular Session,HB0032,Maryland Department of Health - Forensic Review Board - Established,Requiring the Maryland Department of Health to establish a forensic review board at facilities that have charge of persons who have been committed to the facility as not criminally responsible; authorizing a forensic review board to make recommendations relating to the release or rehabilitation of a committed person; requiring the board to give notice at least 10 days before a meeting concerning the committed person; requiring the board to give consideration to a written statement offered by the committed person to the board; etc.,"The bill establishes a forensic review board at facilities that have charge of persons committed as not criminally responsible, to review their eligibility for release and make recommendations. It also creates a Community Forensic Aftercare Program to monitor these individuals on conditional release.",Maryland Department of Health,"Persons committed as not criminally responsible and on conditional release, mental health professionals, courts, and legal representatives.",The bill does not directly address small businesses or their failure rates.,1.0
2025 Regular Session,HB0033,Department of Service and Civic Innovation - Maryland Corps Program Service Year Option Pathways - Revisions,Altering the duties of the Department of Service and Civic Innovation; renaming the Governor's Volunteer Council to be the Governor's Commission on Service and Volunteerism; altering certain requirements relating to qualifications for applicants and compensation for participants in the Young Adult Service Year Option Pathway and the Maryland Service Year Option Pathway; altering certain reporting requirements; and repealing the Executive Fellows Program.,"The bill revises the Maryland Corps Program by establishing the Young Adult Service Year and Maryland Service Year Pathways, setting program requirements, funding, and reporting procedures, and renaming the Governor’s Volunteer Council to the Governor’s Commission on Service and Volunteerism.",Department of Service and Civic Innovation,"Young adults aged 18-25, Maryland residents, community organizations, employers, and local governments involved in service and volunteer programs.","The bill's focus on service pathways and funding for youth and community programs is likely to indirectly support small business success by fostering community development and workforce readiness, but it does not directly target small business failure.",3.0
2025 Regular Session,HB0036,Department of Aging – Aging Services – Program Repeal and Consolidation,"Repealing provisions of law requiring the Secretary of Aging to develop certain congregate housing and assisted living programs for seniors; repealing the Interagency Committee on Aging Services and transferring certain responsibilities of the Committee to the Department of Aging; requiring the Department, beginning in June 2025, in coordination with area stakeholders, to conduct program transition planning and to co-design the new, consolidated program required by the Act; etc.","The bill repeals certain aging programs and committees, consolidates responsibilities into the Department of Aging, and establishes new programs for aging services, including single points of entry for seniors and a system to provide services to older adults to help them age in place.",Department of Aging,"Older adults and seniors in Maryland, along with local agencies and organizations involved in aging services.","The bill aims to streamline aging services and improve coordination, which could reduce the failure rate of small businesses involved in providing these services, but the impact is indirect and not explicitly quantified.",4.0
2025 Regular Session,HB0039,Public Health - Repeal of Prohibition on Transfer of Human Immunodeficiency Virus (Carlton R. Smith Act),Repealing the prohibition on an individual from knowingly transferring or attempting to transfer the human immunodeficiency virus to another individual.,"The bill repeals the existing prohibition that criminalized knowingly transferring or attempting to transfer the human immunodeficiency virus (HIV) to another individual, effectively removing legal penalties for such actions.",Maryland Department of Health,Individuals living with HIV and the general public,The bill does not directly impact small business failure rates.,1.0
2025 Regular Session,HB0040,Natural Resources - Fishing Licenses and Stamps - Alterations,"Altering the fees for resident consolidated senior sport fishing licenses, angler's licenses, and trout stamps; and repealing the exemption from the requirement to obtain a trout stamp under certain circumstances for a holder of a resident consolidated senior sport fishing license.","The bill increases fees for certain fishing licenses and stamps in Maryland, repeals some exemptions, and establishes programs for discounted licenses for Purple Heart recipients.",Maryland Department of Natural Resources,"Residents of Maryland who fish, especially senior citizens and veterans, as well as fishing license vendors.",The bill's fee adjustments and program implementations are unlikely to have a significant impact on small business failure rates.,2.0
2025 Regular Session,HB0041,Election Law - Petitions for the Formation of a New Political Party - Process,Altering the time periods during which a petition for the formation of a new political party or additional signatures to a petition may not be filed; and prohibiting signatures submitted with a petition that was officially determined as not meeting certain legal requirements from being resubmitted with a subsequent petition.,"The bill modifies the process and timing for filing petitions to form a new political party in Maryland, including restrictions on resubmitting signatures if a petition fails to meet legal requirements.",Maryland State Board of Elections,Individuals interested in forming new political parties and voters in Maryland,The bill does not directly impact small businesses or their failure rates.,1.0
2025 Regular Session,HB0043,Federally Qualified Health Centers Grant Program - Acquisition of Land,"Authorizing the Board of Public Works, on recommendation of the Secretary of Health, to make grants under the Federally Qualified Health Centers Grant Program to counties, municipal corporations, and nonprofit corporations for the acquisition of land for the construction or use of a federally qualified health center.","The bill authorizes the Maryland Board of Public Works, based on recommendations from the Secretary of Health, to provide grants to counties, municipal corporations, and nonprofit organizations for acquiring land to build or operate federally qualified health centers.","Maryland Board of Public Works, in coordination with the Secretary of Health","Counties, municipal corporations, nonprofit organizations, and residents who will access federally qualified health centers",The bill focuses on health center land acquisition and does not directly address small business failure rates.,1.0
2025 Regular Session,HB0046,Public Health - Cannabis Public Health Advisory Council - Membership,"Altering the membership of the Cannabis Public Health Advisory Council to include the Administrator of the Motor Vehicle Administration, or the Administrator's designee, and the Executive Director of the Office of Social Equity in the Maryland Cannabis Administration, or the Executive Director's designee.","The bill amends the membership structure of the Cannabis Public Health Advisory Council in Maryland, adding new members appointed by the Governor with expertise in areas such as health, social equity, cannabis law, and testing.",Maryland Cannabis Administration and the Maryland State Government,"Cannabis industry professionals, public health officials, social equity communities, and the general public in Maryland","The bill's focus on social equity and cannabis law expertise may support small cannabis businesses and related sectors, potentially reducing failure rates.",6.0
2025 Regular Session,HB0049,Environment - Building Energy Performance Standards - Alterations and Analysis,"Altering the requirements for certain regulations adopted by the Department of the Environment relating to building energy performance standards to include certain exclusions, considerations, and a certain  annual reporting fee to cover certain costs; requiring the Department to certify a certain building energy performance standards program adopted by a county under certain circumstances; requiring the Department to conduct an analysis of the potential costs and benefits of certain building energy performance standards policy options; etc.","The bill establishes regulations and standards for building energy performance in Maryland, including targets, exemptions, and alternative compliance pathways, and creates a program for fees and incentives to promote energy efficiency and greenhouse gas reduction in large buildings.",Maryland Department of the Environment,"Owners and operators of large commercial and multifamily buildings in Maryland, including those in sensitive or secure facilities, and energy auditors.","The bill provides training, certification, and financial incentives for energy auditors and building owners, which could help small businesses in the energy and building sectors to comply and succeed.",7.0
2025 Regular Session,HB0054,Health Services Cost Review Commission – User Fee Assessment – Repeal of Sunset,Repealing the termination date for a certain provision of law related to the maximum amount of total user fees that may be assessed on hospitals and related institutions by the Health Services Cost Review Commission.,"The bill repeals the sunset clause that limited the maximum amount of user fees that the Health Services Cost Review Commission could assess on hospitals and related institutions, allowing the fee limits to continue indefinitely.",Health Services Cost Review Commission,Hospitals and related healthcare institutions in Maryland,"The bill's impact on small business failure rates is minimal, as it primarily concerns fee assessment limits for hospitals and related institutions, not small businesses directly.",2.0
2025 Regular Session,HB0056,Procurement - State Department of Education - Local Food Purchasing Program,"Requiring the State Department of Education, in coordination with the Department of General Services and the Department of Agriculture, to establish a program to procure, when funding is available, local food for local school systems with preference to providers that are certified local farms or certified Chesapeake invasive species providers; altering the percentage price preference adopted by the Board of Public Works for locally grown food from 5% to 10%; etc.","The bill requires the Maryland State Department of Education to establish a program to procure local food for schools from local farms and Chesapeake invasive species providers, with preferences and regulations to support local sourcing and reduce food miles.","The Maryland State Department of Education, in coordination with the Department of Agriculture and the Department of General Services.","Local school systems, local farmers, Chesapeake invasive species providers, and students in Maryland schools.","The program aims to support local farmers and providers, potentially reducing small business failures by increasing procurement opportunities and streamlining processes.",7.0
2025 Regular Session,HB0059,Property Tax – Tax Sales – Revisions,Authorizing a tax collector to withhold from tax sale certain property occupied by an heir of a deceased owner of the property; requiring that certain owner-occupied property and certain property occupied by an heir of a deceased owner of the property be withheld from tax sale; requiring each county to establish a registry for interested parties or the Tax Sale Ombudsman to designate property to be withheld from tax sale; requiring the State Department of Assessments and Taxation to assist each county in creating and maintaining the registry; etc.,"The bill revises Maryland's property tax sale laws to provide protections for owner-occupied residential properties and properties occupied by heirs of deceased owners, establish a registry for interested parties to designate properties to be withheld from tax sale, and create a Homeowner Protection Program to help vulnerable homeowners retain their homes.",Maryland Department of Assessments and Taxation and local county or municipal governments.,"Homeowners, heirs of deceased property owners, vulnerable homeowners, and local governments involved in tax sales.","The bill primarily targets residential property owners and does not directly address small businesses, so its impact on small business failure rates is minimal.",2.0
2025 Regular Session,HB0063,State Board of Public Accountancy - Sunset Extension and Report,"Continuing the State Board of Public Accountancy in accordance with the provisions of the Maryland Program Evaluation Act (sunset law) by extending to July 1, 2030, the termination provisions relating to the statutory and regulatory authority of the Board; and requiring the Maryland Department of Labor to submit a certain report to the Joint Audit and Evaluation Committee on or before July 1, 2028.","The bill extends the sunset date of the State Board of Public Accountancy to July 1, 2030, and requires the Maryland Department of Labor to submit a report on the Board by July 1, 2028.",Maryland Department of Labor,"Public accountants, accounting firms, and consumers of accounting services in Maryland","The bill does not directly address small business failure rates, but maintaining the Board could support the stability and regulation of accounting practices for small businesses.",3.0
2025 Regular Session,HB0071,Education - Holocaust Education Assistance Grant Program - Established,"Establishing the Holocaust Education Assistance Grant Program in the State Department of Education to assist local school systems with Holocaust education in public schools; authorizing a local school system to apply to the Department for a grant from the Program to be used for teacher training or teaching materials; and requiring the Governor to include in the annual budget bill an appropriation of $50,000 for the Program.","The bill establishes the Holocaust Education Assistance Grant Program within the Maryland State Department of Education to support local school systems in providing Holocaust education through teacher training and teaching materials, with an annual budget of $500,000.",Maryland State Department of Education,"Public school students and educators in Maryland, particularly those involved in Holocaust education","The bill does not directly impact small business failure rates, as it focuses on education funding.",1.0
2025 Regular Session,HB0073,State Finance and Procurement - State Leasing of Real Property,"Increasing the noncompetitive threshold for State leases of real property from less than 2,500 square feet to up to 5,000 square feet; altering the time frame during which the State is required to advertise the need for rental of building space from at least 30 days to 20 days before proposals for lease are due; requiring the advertisement to be in certain newspapers providing notice to at least the people of the affected locality; and requiring the notice to be posted on the Department's website and eMaryland Marketplace.","The bill increases the noncompetitive threshold for State leases of real property from 2,500 to 5,000 square feet, and modifies the advertising process for leasing needs by reducing the notice period from 30 to 20 days and requiring advertising on the Department's website and eMaryland Marketplace.",Department of General Services,State agencies and organizations involved in leasing or renting property for state use,"The bill's changes to leasing procedures and advertising platforms may streamline the leasing process, potentially benefiting small businesses that participate in state leasing opportunities.",6.0
2025 Regular Session,HB0075,Election Law – Special Elections,Altering requirements for scheduling special elections to fill vacancies in a county council or in the office of chief executive officer or county executive; requiring the State Administrator to conduct a special election in accordance with State law and regulations if the State Administrator determines a conflict exists between State law and regulations and a county charter or other county law relating to the conduct of a special election; etc.,"The bill modifies the procedures for scheduling and conducting special elections in Maryland, including allowing counties to fill vacancies through a single special general election without a primary, and clarifies election conduct in case of conflicts with county laws.",Maryland State Board of Elections and local boards of elections,"Voters in Maryland, county governments, and political parties involved in election processes",The bill does not directly address small business failure rates; it focuses on election procedures.,1.0
2025 Regular Session,HB0088,Estates and Trusts - Maryland Trust Decanting Act - Notification and Document Transmittal,Specifying the manner in which notice regarding an exercise of the decanting power or the sending of a document under the Maryland Trust Decanting Act is required to be provided.,"This bill amends the Maryland Trust Decanting Act to specify acceptable methods for providing notice and transmitting documents related to decanting, including personal service, certified or first-class mail, courier, and alternative methods if agreed upon. It aims to improve communication procedures in trust decanting processes.",Authorized fiduciary or trust administrator responsible for providing notice and transmitting documents under the Maryland Trust Decanting Act.,"Trust beneficiaries, trustors, fiduciaries, and legal professionals involved in estate and trust management in Maryland.",The bill's focus on trust decanting procedures is unlikely to have a direct impact on small business failure rates.,1.0
2025 Regular Session,HB0089,Criminal Law - Crimes Relating to Animals - Conviction and Sentencing,Establishing that certain crimes relating to animals do not include certain activities; establishing that each animal harmed in a violation of a prohibition against animal cruelty is a separate offense and shall be deemed an individual victim for purposes of the sentencing guidelines stacking rule; establishing that a conviction for a crime relating to animals may not merge with a conviction for any other crime based on the act establishing the violation; etc.,"The bill clarifies and enhances laws related to crimes involving animals in Maryland. It specifies that certain animal cruelty violations are separate offenses, each animal harmed is considered a separate victim, and convictions for animal crimes cannot merge with other crimes. It also allows sentences for animal crimes to be separate, consecutive, or concurrent with other sentences.",Maryland Department of Public Safety and Correctional Services or the judiciary responsible for sentencing and enforcement of criminal laws.,"Animals, animal welfare organizations, law enforcement, and individuals involved in activities such as farming, research, hunting, and animal training.","The bill primarily focuses on criminal law and animal cruelty, with no direct provisions affecting small business operations or failure rates.",1.0
2025 Regular Session,HB0092,"Heating, Ventilation, Air–Conditioning, and Refrigeration Contractors – License Restoration","Extending from 90 days to 4 years the time period during which an individual who has held a heating, ventilation, air-conditioning, and refrigeration contractor license may apply for license restoration after expiration.","The bill extends the period during which a licensed heating, ventilation, air-conditioning, and refrigeration contractor in Maryland can apply for license restoration after expiration from 90 days to 4 years.","Maryland State Board of Heating, Ventilation, Air–Conditioning, and Refrigeration Contractors","Heating, ventilation, air-conditioning, and refrigeration contractors in Maryland","By allowing a longer period for license restoration, the bill potentially reduces the likelihood of small business failure among contractors who may have let their licenses lapse.",7.0
2025 Regular Session,HB0094,Opioid-Associated Disease Prevention and Outreach Programs - Appeals and Membership of Standing Advisory Committee,"Authorizing a local health department or community-based organization to appeal to the Secretary of Health or the Secretary's designee rather than to the Deputy Secretary for Public Health Services, an adverse decision of the Maryland Department of Health and a local health officer regarding an application for authorization to operate an Opioid-Associated Disease Prevention and Outreach Program; etc.","The bill authorizes local health departments and community-based organizations to establish and operate opioid-associated disease prevention and outreach programs, with a process for appealing adverse decisions to the Secretary of Health or their designee. It also establishes a Standing Advisory Committee to provide technical assistance and make recommendations for these programs.","The Maryland Department of Health, specifically the Secretary of Health or their designee, is responsible for implementing the programs and overseeing appeals and advisory committees.","Individuals affected by opioid use, including people who inject drugs, their families, healthcare providers, law enforcement, and community organizations involved in substance use prevention and treatment.","The bill's focus on establishing and supporting opioid prevention programs aims to improve community health and safety, which can contribute to a more stable environment for small businesses, though it does not directly target small business failure rates.",4.0
2025 Regular Session,HB0099,Anne Arundel County - Class A (Off-Sale) and Class D (Off-Sale) Licenses - Population Ratio Quota,Establishing a population ratio quota for certain Class A (off-sale) and Class D (off-sale) licenses in Anne Arundel County; specifying a certain official map to be used to identify certain tax assessment districts for purposes of the population ratio quota; and prohibiting the Board of License Commissioners for Anne Arundel County from approving the transfer of certain alcoholic beverages licenses under certain circumstances.,"The bill establishes a population ratio quota for certain off-sale alcohol licenses in Anne Arundel County, limiting the number of licenses based on the population of specific assessment districts, and restricts license transfers outside these districts.",Anne Arundel County Board of License Commissioners,"Alcohol license holders, residents of Anne Arundel County, local businesses involved in alcohol sales","The bill's restrictions on license issuance and transfer could limit the growth of new alcohol businesses, potentially reducing failure rates for small businesses within the licensing framework.",4.0
2025 Regular Session,HB0100,Insurance Pooling - Public Entity - Definition,"Altering the definition of ""public entity"" to include a Resilience Authority for purposes of insurance pooling.","The bill amends the definition of 'public entity' to include Resilience Authorities, allowing them to participate in insurance pooling for casualty, property, or health insurance, or to self-insure against related risks.","The Maryland Department of Insurance and local government authorities, specifically Resilience Authorities, are responsible for implementing the programs.","Resilience Authorities, local governments, and public entities involved in insurance pooling and resilience infrastructure projects.",The bill could potentially reduce small business failures by providing more comprehensive insurance options and risk management through Resilience Authorities.,6.0
2025 Regular Session,HB0102,Family and Medical Leave Insurance Program - Revisions,"Defining ""anchor date"" to establish certain reference points for the calculation of a certain covered employee's average weekly wage and eligibility for increases in weekly benefits under the Family Medical Leave and Insurance Program; requiring the Maryland Department of Labor to adopt regulations establishing an optional self-employed enrollment program governing the participation of self-employed individuals in the Program; repealing certain requirements related to  contributions made by certain participating individuals; etc.","The bill revises the Maryland Family and Medical Leave Insurance Program by defining key terms, establishing an optional self-employed enrollment program, adjusting contribution and benefit calculation procedures, and setting new implementation timelines.",Maryland Department of Labor,"Employees, self-employed individuals, employers with 15 or more employees, and healthcare providers in Maryland","The bill aims to streamline contributions and benefits, potentially reducing financial uncertainty for small businesses and self-employed individuals, thereby lowering the risk of business failure.",7.0
2025 Regular Session,HB0104,Maryland Farms and Families Fund – Purpose and Use – Alterations,"Altering the purpose and use of the Maryland Farms and Families Fund to match purchases made with FMNP, SNAP, and WIC benefits at certain farmers markets and farm stands, support nonprofit farmers markets by providing logistical and marketing support to increase the use of federal nutrition programs at these markets, and to support nonprofit  organizations or other responsible persons to implement the Program.",The bill modifies the purpose and use of the Maryland Farms and Families Fund to support programs that increase access to fresh fruits and vegetables for food-insecure residents and support local farmers through federal nutrition benefits at farmers markets.,The Maryland Department of Agriculture,"Food-insecure Maryland residents, local farmers, farmers markets, nonprofit organizations involved in food assistance programs","The program aims to support farmers markets and local farmers, which could help sustain small agricultural businesses and markets, potentially reducing their failure rate.",7.0
2025 Regular Session,HB0107,Consumer Protection - Automatic Renewals,"Requiring a person who makes an automatic renewal offer to consumers to allow a consumer to cancel the automatic renewal in a cost-effective, timely, and easy-to-use manner; requiring automatic renewal offers to be displayed in a certain manner and contain certain information; establishing that compliance with certain regulations or a certain license shall be considered to be compliance with the Act; establishing that a violation of the Act is an unfair, abusive, or deceptive trade practice; etc.","The bill requires businesses that offer automatic renewal contracts to clearly disclose terms, provide notice before renewal, and allow consumers easy ways to cancel or opt out. It aims to protect consumers from unfair, deceptive, or abusive renewal practices.",Maryland Department of Commerce or the relevant licensing authority overseeing business practices and consumer protection.,Consumers who subscribe to services with automatic renewal contracts in Maryland.,"The bill's provisions are designed to promote fair practices, which could reduce disputes and cancellations, potentially lowering small business failure related to consumer complaints.",6.0
