Bill Number,Title,Status,Synopsis,Cross-filed bill,File codes,Subjects
HB0025,Environment â Reservoir Augmentation Permit â Establishment,Passed Enrolled,"Establishing the Reservoir Augmentation Program in the Department of the Environment; defining ""reservoir augmentation"" as the planned placement of reclaimed water into a surface water reservoir used as a source for a drinking water treatment facility; requiring a person to obtain a permit from the Department to perform reservoir augmentation; establishing an Indirect Potable Reuse Pilot Program in the Department to make recommendations on whether the program should be extended or made permanent and any statutory or regulatory changes necessary; etc.",SB0265,Environment,"Construction|Environment, Department of the|Environmental Matters -see also- Conserv; Nat Resrce; Pollut|Ethics|Fees -see also- Attys' Fees; Devt Fees & Taxes|Forms|Health -see also- COVID19; EnvHlth; MedCon; etc.|Inspections -see also- Motor Vehicle Inspection|Natural Resources -see also- Coal; For&Pks; Rivers; etc.|Penalties and Sentences -see also- Death Penalty|Permits -see also- Building Permits|Pilot Programs|Prices -see also- Consumer Price Index|Reports|Revenue and Taxes -see also- (specific tax)|Rules and Regulations|Safety -see also- Occupational Safety|Standards and Best Practices|Storage|Studies -see also- Commitees & Commissions; Reports|Sunset|Time|Utilities -see also- Recycl; Refuse; Sewage; Teleph; Water|Water -see also- Coastal Bays; Riv,Str,Lks; Wastewater; etc."
HB0027,Estates and Trusts - Compensation of Guardians of Property and Trustees,Returned Passed,Clarifying the commissions that a guardian of the property may charge; authorizing a trustee of a trust to charge compensation that is reasonable under the circumstances; and authorizing trustees who are financial institutions or members of the Maryland Bar to charge compensation that is reasonable under the circumstances and calculated in accordance with a schedule of rates filed with an appropriate agency.,SB0019,Estates and Trusts,Courts -see also- AppCt; Circuit; District; Orphans'; etc.|Estates and Trusts -see also- Beneficiaries|Fees -see also- Attys' Fees; Devt Fees & Taxes|Goods and Services -see also- Retail Sales; TermnSvc; TrfGds|Real Estate -see also- Agents and Brokers|Salaries and Compensation -see also- Overtime; Reimb. Rates
HB0031,Consumer Protection - Right to Repair - Powered Wheelchairs,Returned Passed,"Requiring, in order to make repairs to powered wheelchairs, that a certain manufacturer make available certain documentation, parts, embedded software, firmware, and tools to a certain independent repair provider or owner of a powered wheelchair; providing that a violation of the Act constitutes an unfair, abusive, or deceptive trade practice subject to certain enforcement and penalty provisions; and applying the Act prospectively.",SB0382,Commercial Law - Consumer Protection,Claims|Consumer Protection|Contracts -see also- Procurement|Goods and Services -see also- Retail Sales; TermnSvc; TrfGds|Industry and Technology|Liability|Licenses -see also- AB Lic; Certifications; DrLic; Permits|Medical Equipment and Devices|Prices -see also- Consumer Price Index|Records -see also- Land Records; Vital Records|Trade Secrets|Unfair Trade Practices
HB0032,Maryland Department of Health - Forensic Review Board - Established,Returned Passed,Requiring the Maryland Department of Health to establish a forensic review board at facilities that have charge of persons who have been committed to the facility as not criminally responsible; authorizing a forensic review board to make recommendations relating to the release or rehabilitation of a committed person; requiring the board to give notice at least 10 days before a meeting concerning the committed person; requiring the board to give consideration to a written statement offered by the committed person to the board; etc.,SB0043,Criminal Law - Procedures|Public Health|Health Care Facilities and Regulation,"Attorneys|Health, Department of|Health Occupations -see also- (specific health occupations)|Legal Aid|Medical Treatments|Mental and Behavioral Health -see also- Aut; Cogn; Dev; etc.|Notices|Prerelease and Reentry|Records -see also- Land Records; Vital Records|Rehabilitation|Review Boards|Rules and Regulations|Social Workers|State Hospitals"
HB0033,Department of Service and Civic Innovation - Maryland Corps Program Service Year Option Pathways - Revisions,Approved by the Governor - Chapter 93,Altering the duties of the Department of Service and Civic Innovation; renaming the Governor's Volunteer Council to be the Governor's Commission on Service and Volunteerism; altering certain requirements relating to qualifications for applicants and compensation for participants in the Young Adult Service Year Option Pathway and the Maryland Service Year Option Pathway; altering certain reporting requirements; and repealing the Executive Fellows Program.,SB0248,"State Government - Agencies, Offices, and Officials",Administrative Agencies|Age -see also- Age of Maj; Children; Elderly; Inf&Tod.; etc|Committees and Commissions|Education -see also- ContEd; DrvEd; HigherEd; etc.|Reports|Salaries and Compensation -see also- Overtime; Reimb. Rates|Volunteers
HB0036,Department of Aging â Aging Services â Program Repeal and Consolidation,Approved by the Governor - Chapter 33,"Repealing provisions of law requiring the Secretary of Aging to develop certain congregate housing and assisted living programs for seniors; repealing the Interagency Committee on Aging Services and transferring certain responsibilities of the Committee to the Department of Aging; requiring the Department, beginning in June 2025, in coordination with area stakeholders, to conduct program transition planning and to co-design the new, consolidated program required by the Act; etc.",SB0212,"State Government - Agencies, Offices, and Officials|Elderly","Administrative Agencies|Aging, Department of|Annotated Code of Maryland|Awareness and Outreach|Committees and Commissions|Community Facilities and Services|Elderly Persons (65+) -see also- Elder Abuse and Neglect|Food -see also- Meat, Poultry, & Seafood; Milk; etc.|Goods and Services -see also- Retail Sales; TermnSvc; TrfGds|Health -see also- COVID19; EnvHlth; MedCon; etc.|Housing -see also- Apartments; Condos; Mobile & Manuf  Homes|Human Services, Department of|Intergovernmental Cooperation -see also- AdmAgn; Cmts; etc.|Standards and Best Practices|Transportation -see also- Aircraft; Airports; Boats; etc|Work, Labor, and Employment -see also- JobTrn; Leave; etc."
HB0039,Public Health - Repeal of Prohibition on Transfer of Human Immunodeficiency Virus (Carlton R. Smith Act),Returned Passed,Repealing the prohibition on an individual from knowingly transferring or attempting to transfer the human immunodeficiency virus to another individual.,SB0356,Public Health,AIDS|Crimes and Punishments -see also- Penalties and Sentnc; etc.|Health -see also- COVID19; EnvHlth; MedCon; etc.|Penalties and Sentences -see also- Death Penalty
HB0040,Natural Resources - Fishing Licenses and Stamps - Alterations,Approved by the Governor - Chapter 45,"Altering the fees for resident consolidated senior sport fishing licenses, angler's licenses, and trout stamps; and repealing the exemption from the requirement to obtain a trout stamp under certain circumstances for a holder of a resident consolidated senior sport fishing license.",SB0258,Hunting and Fishing,"Elderly Persons (65+) -see also- Elder Abuse and Neglect|Fees -see also- Attys' Fees; Devt Fees & Taxes|Fish and Fishing -see also- Aquaculture; FishNets&Dev|Licenses -see also- AB Lic; Certifications; DrLic; Permits|Natural Resources -see also- Coal; For&Pks; Rivers; etc.|Natural Resources, Department of|Residency -see also- Immigrants and Citizenship"
HB0041,Election Law - Petitions for the Formation of a New Political Party - Process,Returned Passed,Altering the time periods during which a petition for the formation of a new political party or additional signatures to a petition may not be filed; and prohibiting signatures submitted with a petition that was officially determined as not meeting certain legal requirements from being resubmitted with a subsequent petition.,SB0267,Elections,Elections|Petitions|Political Parties|Signatures|Time
HB0043,Federally Qualified Health Centers Grant Program - Acquisition of Land,Returned Passed,"Authorizing the Board of Public Works, on recommendation of the Secretary of Health, to make grants under the Federally Qualified Health Centers Grant Program to counties, municipal corporations, and nonprofit corporations for the acquisition of land for the construction or use of a federally qualified health center.",SB1005,Public Health,"Construction|Federal Government|Grants|Health Care Facilities -see also- Clinics; Hospices; etc|Health, Department of|Public Works, Board of|Real Property"
HB0046,Public Health - Cannabis Public Health Advisory Council - Membership,Passed Enrolled,"Altering the membership of the Cannabis Public Health Advisory Council to include the Administrator of the Motor Vehicle Administration, or the Administrator's designee, and the Executive Director of the Office of Social Equity in the Maryland Cannabis Administration, or the Executive Director's designee.",SB0222,Public Health|Cannabis,"Cannabis Administration, Maryland|Cannabis -see also- CannDist; CannProd; Smok&Vap|Committees and Commissions|Health -see also- COVID19; EnvHlth; MedCon; etc.|Motor Vehicle Administration|Names"
HB0049,Environment - Building Energy Performance Standards - Alterations and Analysis,Passed Enrolled,"Altering the requirements for certain regulations adopted by the Department of the Environment relating to building energy performance standards to include certain exclusions, considerations, and a certain  annual reporting fee to cover certain costs; requiring the Department to certify a certain building energy performance standards program adopted by a county under certain circumstances; requiring the Department to conduct an analysis of the potential costs and benefits of certain building energy performance standards policy options; etc.",SB0256,Environment,"Air Pollution|Auditors and Audits|Clean Energy Credits -see also- Envir.Incent; Renew.Energy|Community Colleges|Counties -see also- Chartered Counties; Code Counties; etc.|Energy Matters -see also- Fuel; NuclearMatt; PwrPlnts; etc.|Environment, Department of the|Environmental Incentives|Environmental Matters -see also- Conserv; Nat Resrce; Pollut|Equipment -see also- Charging; Med. Equip.; MV Equip; etc.|Fees -see also- Attys' Fees; Devt Fees & Taxes|Forms|Grants|Industry and Technology|Inflation|Job Training -see also- Continuing Ed; Vocational Rehab|Legislation -see also- Correct Leg; Cur Leg; Emerg Bills|Loans -see also- Credit; Mortgages; Scholarships&SFA|Penalties and Sentences -see also- Death Penalty|Public Buildings and Facilities -see also- Stadiums; St Hse|Renewable Energy Sources -see also- Geotherm; Solar; etc.|Reports|Residential Property -see also- Apartments; Condominiums|Revenue and Taxes -see also- (specific tax)|Rules and Regulations|Signatures|Standards and Best Practices|Studies -see also- Commitees & Commissions; Reports|Sunset|Time|Waivers|Weights and Measures"
HB0054,Health Services Cost Review Commission â User Fee Assessment â Repeal of Sunset,Approved by the Governor - Chapter 25,Repealing the termination date for a certain provision of law related to the maximum amount of total user fees that may be assessed on hospitals and related institutions by the Health Services Cost Review Commission.,SB0229,Health Care Facilities and Regulation,Fees -see also- Attys' Fees; Devt Fees & Taxes|Health Care Facilities -see also- Clinics; Hospices; etc|Health Services Cost Review Commission|Hospitals -see also- Clinics; State Hospitals|Revenue and Taxes -see also- (specific tax)|Sunset
HB0056,Procurement - State Department of Education - Local Food Purchasing Program,Returned Passed,"Requiring the State Department of Education, in coordination with the Department of General Services and the Department of Agriculture, to establish a program to procure, when funding is available, local food for local school systems with preference to providers that are certified local farms or certified Chesapeake invasive species providers; altering the percentage price preference adopted by the Board of Public Works for locally grown food from 5% to 10%; etc.",SB0177,State Government - Procurement|Primary and Secondary Education,"Administrative Agencies|Agriculture, Department of|Boundaries|Certifications|Education, State Department of|Farmers and Farming -see also- Agriculture; Farmland|Farmland|Fish and Fishing -see also- Aquaculture; FishNets&Dev|Food -see also- Meat, Poultry, & Seafood; Milk; etc.|General Services, Department of|Intergovernmental Cooperation -see also- AdmAgn; Cmts; etc.|Invasive Species -see also- Animals; Insects; Plants|Procurement|Public Schools -see also- Primary Schools; Secondary Sch|Public Works, Board of|Reports|Rules and Regulations"
HB0059,Property Tax â Tax Sales â Revisions,Passed Enrolled,Authorizing a tax collector to withhold from tax sale certain property occupied by an heir of a deceased owner of the property; requiring that certain owner-occupied property and certain property occupied by an heir of a deceased owner of the property be withheld from tax sale; requiring each county to establish a registry for interested parties or the Tax Sale Ombudsman to designate property to be withheld from tax sale; requiring the State Department of Assessments and Taxation to assist each county in creating and maintaining the registry; etc.,SB0192,Taxes - Property,"Abandoned Property|Assessments and Taxation, Department of|Baltimore City|Beneficiaries|Counties -see also- Chartered Counties; Code Counties; etc.|Estates and Trusts -see also- Beneficiaries|Fees -see also- Attys' Fees; Devt Fees & Taxes|Foreclosure|Interest|Landlords and Tenants|Liens|Local Government Mandates|Municipal Corporations -see also- Annap; Balt; Hager; OC|Notices|Ombudsmen|Postal Service|Property Tax|Records -see also- Land Records; Vital Records|Registration -see also- Motor Vehicle Registration|Residential Property -see also- Apartments; Condominiums|Sewage|Tax Sales|Time|Water -see also- Coastal Bays; Riv,Str,Lks; Wastewater; etc."
HB0063,State Board of Public Accountancy - Sunset Extension and Report,Approved by the Governor - Chapter 83,"Continuing the State Board of Public Accountancy in accordance with the provisions of the Maryland Program Evaluation Act (sunset law) by extending to July 1, 2030, the termination provisions relating to the statutory and regulatory authority of the Board; and requiring the Maryland Department of Labor to submit a certain report to the Joint Audit and Evaluation Committee on or before July 1, 2028.",SB0261,Business Occupations and Professions,"Accountants|Committees and Commissions|Labor, Department of|Reports|Sunset"
HB0071,Education - Holocaust Education Assistance Grant Program - Established,Returned Passed,"Establishing the Holocaust Education Assistance Grant Program in the State Department of Education to assist local school systems with Holocaust education in public schools; authorizing a local school system to apply to the Department for a grant from the Program to be used for teacher training or teaching materials; and requiring the Governor to include in the annual budget bill an appropriation of $50,000 for the Program.",,Primary and Secondary Education,"Appropriations|Education -see also- ContEd; DrvEd; HigherEd; etc.|Education, State Department of|Ethnic Affairs|Governor|Grants|Historical Matters -see also- Archives; Monumts; Museum; etc|Job Training -see also- Continuing Ed; Vocational Rehab|Public Schools -see also- Primary Schools; Secondary Sch|State Aid -see also- Public Benefits|Teachers"
HB0073,State Finance and Procurement - State Leasing of Real Property,Approved by the Governor - Chapter 75,"Increasing the noncompetitive threshold for State leases of real property from less than 2,500 square feet to up to 5,000 square feet; altering the time frame during which the State is required to advertise the need for rental of building space from at least 30 days to 20 days before proposals for lease are due; requiring the advertisement to be in certain newspapers providing notice to at least the people of the affected locality; and requiring the notice to be posted on the Department's website and eMaryland Marketplace.",SB0194,State Government - Procurement,"Advertising|General Services, Department of|Internet -see also- Internet Access|Leases and Rent|Notices|Procurement|Real Property|Time"
HB0075,Election Law â Special Elections,Returned Passed,Altering requirements for scheduling special elections to fill vacancies in a county council or in the office of chief executive officer or county executive; requiring the State Administrator to conduct a special election in accordance with State law and regulations if the State Administrator determines a conflict exists between State law and regulations and a county charter or other county law relating to the conduct of a special election; etc.,SB0262,Elections,Absentee and Mail-In Ballots|Absentee and Mail-In Voting|Codes -see also- Annotated Code of Md; Building Codes|Counties -see also- Chartered Counties; Code Counties; etc.|Elections|Elections Supervisors|Emergency Bills|Ethics|Health -see also- COVID19; EnvHlth; MedCon; etc.|Political Candidates|Public Officials -see also- Atty Gen; Compt; Coun Admin; etc|Rules and Regulations|Safety -see also- Occupational Safety|Time
HB0088,Estates and Trusts - Maryland Trust Decanting Act - Notification and Document Transmittal,Returned Passed,Specifying the manner in which notice regarding an exercise of the decanting power or the sending of a document under the Maryland Trust Decanting Act is required to be provided.,SB0158,Estates and Trusts,Electronic Documents|Estates and Trusts -see also- Beneficiaries|Fiduciaries|Notices|Postal Service
HB0089,Criminal Law - Crimes Relating to Animals - Conviction and Sentencing,Returned Passed,Establishing that certain crimes relating to animals do not include certain activities; establishing that each animal harmed in a violation of a prohibition against animal cruelty is a separate offense and shall be deemed an individual victim for purposes of the sentencing guidelines stacking rule; establishing that a conviction for a crime relating to animals may not merge with a conviction for any other crime based on the act establishing the violation; etc.,SB0152,Criminal Law - Procedures,"Abuse -see also- Child Abuse; Dom. Viol.; Elder Abuse; etc|Animals -see also- Birds; Dogs; Domestic An; Horses; Livestk|Crimes and Punishments -see also- Penalties and Sentnc; etc.|Fish and Fishing -see also- Aquaculture; FishNets&Dev|Food -see also- Meat, Poultry, & Seafood; Milk; etc.|Hunting -see also- Trapping|Meat, Poultry, Seafood -see also- Clams; Crabs; Food; Oyster|Penalties and Sentences -see also- Death Penalty|Pest Control|Victims -see also- Criminal Injuries Compensation"
HB0092,"Heating, Ventilation, AirâConditioning, and Refrigeration Contractors â License Restoration",Approved by the Governor - Chapter 85,"Extending from 90 days to 4 years the time period during which an individual who has held a heating, ventilation, air-conditioning, and refrigeration contractor license may apply for license restoration after expiration.",SB0263,Business Regulation,Contractors -see also- Construct; Electricians; etc.|Fees -see also- Attys' Fees; Devt Fees & Taxes|Heating and Cooling|Licenses -see also- AB Lic; Certifications; DrLic; Permits|Time
HB0094,Opioid-Associated Disease Prevention and Outreach Programs - Appeals and Membership of Standing Advisory Committee,Approved by the Governor - Chapter 27,"Authorizing a local health department or community-based organization to appeal to the Secretary of Health or the Secretary's designee rather than to the Deputy Secretary for Public Health Services, an adverse decision of the Maryland Department of Health and a local health officer regarding an application for authorization to operate an Opioid-Associated Disease Prevention and Outreach Program; etc.",SB0224,Public Health,Awareness and Outreach|Committees and Commissions|Community Facilities and Services|Health -see also- COVID19; EnvHlth; MedCon; etc.|Medical Conditions -see also- AIDS; COVID-19; rabies|Opioids -see also- Controlled Dangerous Substances; Drugs|Substance Abuse|Substance Abuse Treatment
HB0099,Anne Arundel County - Class A (Off-Sale) and Class D (Off-Sale) Licenses - Population Ratio Quota,Passed Enrolled,Establishing a population ratio quota for certain Class A (off-sale) and Class D (off-sale) licenses in Anne Arundel County; specifying a certain official map to be used to identify certain tax assessment districts for purposes of the population ratio quota; and prohibiting the Board of License Commissioners for Anne Arundel County from approving the transfer of certain alcoholic beverages licenses under certain circumstances.,SB0571,Alcoholic Beverages - Local Bills,"Alcoholic Beverages Distribution|Alcoholic Beverages Licenses|Alcoholic Beverages - By Subdivision|Anne Arundel County|Assessments -see also- Property Tax|Census|License Commissioners, Boards of|Maps and Charts|Residency -see also- Immigrants and Citizenship|Sunset"
HB0100,Insurance Pooling - Public Entity - Definition,Returned Passed,"Altering the definition of ""public entity"" to include a Resilience Authority for purposes of insurance pooling.",SB0102,Local Government - Generally|Insurance - Other than Health,Committees and Commissions|Environmental Matters -see also- Conserv; Nat Resrce; Pollut|Insurance -see also- Health Ins; MAIF; Motor Vehicle Ins|Public Officials -see also- Atty Gen; Compt; Coun Admin; etc
HB0102,Family and Medical Leave Insurance Program - Revisions,Returned Passed,"Defining ""anchor date"" to establish certain reference points for the calculation of a certain covered employee's average weekly wage and eligibility for increases in weekly benefits under the Family Medical Leave and Insurance Program; requiring the Maryland Department of Labor to adopt regulations establishing an optional self-employed enrollment program governing the participation of self-employed individuals in the Program; repealing certain requirements related to  contributions made by certain participating individuals; etc.",SB0225,Private Sector Labor and Industry,"Claims|Consumer Price Index|Escrow Accounts|Health -see also- COVID19; EnvHlth; MedCon; etc.|Insurance -see also- Health Ins; MAIF; Motor Vehicle Ins|Kinship -see also- Parents and Guardians|Labor, Department of|Leave|Notices|Reports|Rules and Regulations|Salaries and Compensation -see also- Overtime; Reimb. Rates|Work, Labor, and Employment -see also- JobTrn; Leave; etc."
HB0104,Maryland Farms and Families Fund â Purpose and Use â Alterations,Approved by the Governor - Chapter 39,"Altering the purpose and use of the Maryland Farms and Families Fund to match purchases made with FMNP, SNAP, and WIC benefits at certain farmers markets and farm stands, support nonprofit farmers markets by providing logistical and marketing support to increase the use of federal nutrition programs at these markets, and to support nonprofit  organizations or other responsible persons to implement the Program.",SB0226,Agriculture,"Agriculture, Department of|Agriculture -see also- Agritourism; Cannabis Prd; Farm; etc.|Awareness and Outreach|Farmers and Farming -see also- Agriculture; Farmland|Food -see also- Meat, Poultry, & Seafood; Milk; etc.|Food Insecurity|Food Stamps|Kinship -see also- Parents and Guardians|Nonprofit Organizations|Public Benefits -see also- FoodStmps; Housing; MedAsst|Reports|State Aid -see also- Public Benefits"
HB0107,Consumer Protection - Automatic Renewals,Passed Enrolled,"Requiring a person who makes an automatic renewal offer to consumers to allow a consumer to cancel the automatic renewal in a cost-effective, timely, and easy-to-use manner; requiring automatic renewal offers to be displayed in a certain manner and contain certain information; establishing that compliance with certain regulations or a certain license shall be considered to be compliance with the Act; establishing that a violation of the Act is an unfair, abusive, or deceptive trade practice; etc.",SB0049,Commercial Law - Consumer Protection,Commerce and Business -see also- ElectrComm; ForeignTr; etc.|Consumer Protection|Contracts -see also- Procurement|Credit|Disclosure|Electronic Commerce -see also- Electronic Funds Transfer|Electronic Communication|Electronic Documents|Electronic Funds Transfer|Goods and Services -see also- Retail Sales; TermnSvc; TrfGds|Licenses -see also- AB Lic; Certifications; DrLic; Permits|Notices|Postal Service|Prices -see also- Consumer Price Index|Rules and Regulations|Subscriptions and Memberships|Telephones|Termination of Services|Time|Unfair Trade Practices
HB0114,Pesticide and Pest Control - Revisions to Pesticide Applicator's Law and Repeal of Obsolete Provisions,Approved by the Governor - Chapter 41,"Establishing requirements for the commercial application of general use pesticides, the commercial application of restricted use pesticides, and the private application of restricted use pesticides; requiring a certified private applicator to ensure that certain individuals working under the certified applicator's supervision meet certain requirements; specifying the responsibility and liability of certified applicators for the application of certain pesticides; etc.",SB0249,Agriculture,Agriculture -see also- Agritourism; Cannabis Prd; Farm; etc.|Boats and Ships|Certifications|Commerce and Business -see also- ElectrComm; ForeignTr; etc.|Environmental Matters -see also- Conserv; Nat Resrce; Pollut|Federal Government|Goods and Services -see also- Retail Sales; TermnSvc; TrfGds|Hazardous and Toxic Substances -see also- Asbestos; Radiatn|Insects -see also- Bees; Pest Control|Liability|Pest Control|Rules and Regulations
HB0121,Electric Companies - Regional Transmission Organizations - Report (Utility Transparency and Accountability Act),Returned Passed,"Requiring an electric company, other than a municipal electric utility, by February 1 each year, to submit a report to the Public Service Commission regarding each recorded vote cast by the electric company and any of its State affiliates at a meeting of a regional transmission organization.",SB0037,Utility Regulation,Meetings -see also- Hearings; Open Government|Records -see also- Land Records; Vital Records|Reports|Utilities -see also- Recycl; Refuse; Sewage; Teleph; Water|Voting -see also- Absentee and Mail-In Voting
