YearAndSession,BillNumber,Title,Synopsis,bill_summary,responsible_party,stakeholders,decrease_small_business_failure_summary,decrease_small_business_failure_score
2024 Regular Session,HB0036,Insurance - Protections After Loss or Damage to Property,"Prohibiting a public adjuster, or anyone acting on behalf of a public adjuster, from soliciting or attempting to solicit a client between the hours of 8:00 p.m. and 8:00 a.m.; altering the statements that are required to be included in a public adjuster contract; altering a certain rescission period for public adjuster contracts; and requiring a public adjuster to provide notice to the Commissioner, in a form and manner the Commissioner determines, within 1 business day after the public adjuster has entered into a contract.","The bill updates regulations for public adjusters, including restrictions on solicitation times after a loss, contract requirements, and notice obligations to the Maryland Insurance Commissioner. It also addresses fraudulent practices by contractors related to insurance deductibles.",Maryland Insurance Administration,"Insurance policyholders, public adjusters, insurance companies, and contractors involved in property damage claims.","The bill aims to prevent fraudulent practices and improve transparency, which could reduce small business failures related to insurance claims and contractor fraud.",7.0
2024 Regular Session,HB0038,Baltimore City - Motor Vehicle Off-Street Parking Requirements Near Mass Transit Stations,"Prohibiting the Mayor and City Council of Baltimore City from adopting or enforcing a local law that requires the creation of new motor vehicle off-street parking for a development that includes residential use and that is located within a 0.25-mile radius of a present or planned MARC, Baltimore MTA Light Rail, Red Line, or Metro station.","The bill prohibits Baltimore City from requiring new off-street parking for residential developments within 0.25 miles of certain transit stations, including MARC, Baltimore MTA Light Rail, Red Line, or Metro stations.",Baltimore City Mayor and City Council,Residential developers and residents near transit stations in Baltimore City,The bill's restrictions on parking requirements are unlikely to have a direct impact on small business failure rates.,2.0
2024 Regular Session,HB0039,Residential Service Agencies - Reimbursement - Personal Assistance Services (Homecare Worker Rights Act of 2024),Authorizing the Maryland Department of Health to reimburse a residential service agency for personal assistance services only if the personal assistance services are provided by an individual classified as an employee.,The bill authorizes the Maryland Department of Health to reimburse residential service agencies for personal assistance services only if those services are provided by individuals classified as employees.,Maryland Department of Health,"Residential service agencies, personal assistance service providers, and individuals receiving personal assistance services in Maryland.","The bill could potentially reduce small business failure by clarifying reimbursement conditions, which may improve financial stability for residential service agencies.",6.0
2024 Regular Session,HB0042,Public Health - Public Health Services and Protections - Revisions,"Repealing the exceptions that allow the sale, distribution, or purchase of tobacco products, tobacco paraphernalia, and electronic smoking devices to or for certain individuals who are active duty members of the military; authorizing the Maryland Department of Health to reallocate from one county to another county certain projected unspent grant funding relating to cancer to address certain funding needs; altering the duties of the State Council on Child Abuse and Neglect; etc.","The bill updates Maryland's laws on tobacco and electronic smoking device sales, including raising the minimum purchase age to 21, removing exceptions for active military members, and establishing signage and enforcement strategies. It also revises responsibilities related to child abuse and neglect reporting, funding, and data collection, and reallocates certain grant funds.","Maryland Department of Health and the Governor’s Office of Crime Prevention, Youth, and Victim Services and Policy.","Tobacco and electronic smoking device consumers, especially those under 21 and active military members, children and families involved in child abuse and neglect cases, and local health and law enforcement agencies.","The bill's provisions on signage, enforcement, and penalties aim to improve compliance and reduce violations, which can help small retailers avoid legal issues and penalties, potentially decreasing small business failure related to non-compliance.",7.0
2024 Regular Session,HB0043,Motor Vehicle Registration - Exceptions for Golf Carts - Authorization,"Authorizing counties and municipalities to designate certain highways in their respective jurisdictions on which a person may operate a golf cart; authorizing a person with a valid driver's license to operate a golf cart only on a highway with a maximum posted speed limit of not more than 30 miles per hour or 35 miles per hour in Golden Beach Patuxent Knolls, St. Mary's County, between dawn and dusk, and if the golf cart is equipped with certain lighting devices; etc.","The bill authorizes Maryland counties and municipalities to designate specific highways where golf carts can be operated, repeals previous authorizations for golf carts on certain local highways, and clarifies regulations for golf cart operation and registration.",Maryland Department of Transportation and local county and municipal governments,"Golf cart operators, local residents, and visitors in Maryland counties and municipalities","The bill does not directly address small business failure rates, but clarifies regulations that could impact local businesses involved in golf cart rentals or related services.",2.0
2024 Regular Session,HB0045,"Natural Resources - Sale, Barter, or Exchange of Mounted Specimens From Decedent's Estate","Authorizing the sale, barter, or exchange of a legally acquired mounted specimen of a game bird, excluding a migratory game bird, or game mammal, from a decedent's estate and the specimen is part of the personal property being liquidated or distributed.","The bill allows for the sale, barter, or exchange of mounted specimens of game birds or mammals from a decedent's estate under certain conditions, specifically when the original owner is deceased and the specimen is part of the estate being liquidated or distributed.",Maryland Department of Natural Resources,"Estate owners, collectors, and individuals involved in the liquidation or distribution of decedent's personal property containing mounted game specimens.","The bill's impact on small business failure rates is minimal, as it primarily clarifies legal conditions for handling mounted specimens from estates rather than providing direct economic support or business development programs.",2.0
2024 Regular Session,HB0051,Public Health - Maryland Pediatric Cancer Fund and Commission,"Altering the use of the Maryland Pediatric Cancer Fund to require that the Fund be used only for pediatric cancer research instead of only for pediatric cancer research, prevention, and treatment and to allow funds from the Fund to be used for administrative expenses; and establishing the Pediatric Cancer Research Commission to oversee the award of competitive grants from the Fund and to develop criteria and a process for reviewing grant applications.","The bill modifies the Maryland Pediatric Cancer Fund to restrict its use solely for pediatric cancer research and administrative expenses, removing the previous allowance for prevention and treatment. It establishes the Pediatric Cancer Research Commission to oversee grant awards from the Fund, sets funding levels, and details the composition and responsibilities of the Commission.","The Maryland Department of Health, specifically the Secretary of Health, is responsible for implementing the programs, including administering the Fund and overseeing the Pediatric Cancer Research Commission.","Pediatric cancer patients, their families, pediatric cancer researchers, hospitals, laboratories, and educational institutions involved in pediatric cancer research in Maryland.","The bill's focus on research grants and oversight is unlikely to have a direct impact on reducing small business failure rates, as it primarily involves state-funded research initiatives and a commission overseeing grant awards.",2.0
2024 Regular Session,HB0052,State Employees - Parental Bereavement Leave,Providing that certain State employees are entitled to use up to 10 days of parental bereavement leave with pay within 60 days after the death of the employee's child; providing that certain State employees are entitled to use up to 60 days of parental bereavement leave within 60 days after the employee experiences a stillbirth or the death of the employee's infant; and prohibiting certain State entities from requiring State employees entitled to parental bereavement leave under the Act to use any other paid leave available to the employee.,"The bill provides parental bereavement leave with pay for certain State employees in the event of the death of a child or a stillbirth, with specific provisions on the duration and notification requirements.","The Maryland State Department of Personnel and Pensions, specifically the Secretary of the department, is responsible for implementing the regulations governing parental bereavement leave.","State employees in Maryland, including those in the executive, judicial, and legislative branches, as well as employees of public institutions of higher education.","The bill is focused on State employees and does not directly impact small businesses, so its potential to reduce small business failure is minimal.",1.0
2024 Regular Session,HB0054,Property Tax - Transfer to Heir or Legatee - Payment Plans,Exempting a grant of land transferring residential real property from the estate of a decedent to an heir or a legatee of the decedent from certain requirements for the payment of taxes on real property if the heir or legatee of the decedent enters into a payment plan to pay all the taxes due and owed on the property; exempting a grant of land that is subject to a payment plan for property taxes from certain requirements for the payment of taxes if the grantee agrees to assume the grantor's obligations under the payment plan; etc.,"The bill allows for property tax payment plans for residential real property transferred from a decedent to an heir or legatee, exempts such transfers from certain tax payment requirements if a payment plan is entered into, and authorizes counties and municipal governments to establish installment payment programs for delinquent property taxes and taxes in arrears.","The Department of Assessments and Taxation, county and municipal tax collectors, and the State Tax Sale Ombudsman.","Homeowners, heirs, and legatees of decedents, especially those transferring residential property, and residents with delinquent or in-arrears property taxes.","The bill primarily targets residential property transfers and homeowner tax payment assistance, with no direct provisions affecting small businesses or their failure rates.",1.0
2024 Regular Session,HB0055,Maryland Commission on Veterans and Military Families,"Establishing the Maryland Commission on Veterans and Military Families to study developing and implementing a statewide strategic plan to make Maryland the best state for veterans and military families, including legislative and budgetary recommendations; requiring the Commission to consult with the Office of Military and Federal Affairs and the Maryland Military Installation Council as part of the study process; and requiring the Commission to report its findings to the Governor and the General Assembly by December 1, 2024.","The bill establishes the Maryland Commission on Veterans and Military Families to develop a strategic plan to make Maryland the best state for veterans and military families, including making recommendations on legislation and budgets.",The Maryland Department of Veterans Affairs and the Maryland Commission on Veterans and Military Families.,"Veterans, military families, military service members, and organizations advocating for these groups in Maryland.","The bill does not directly address small business failure rates, but the strategic plan may include workforce development and health care initiatives that could indirectly support small businesses.",3.0
2024 Regular Session,HB0060,Rehabilitation Services - Disability - Definition,"Altering the definition of ""disability"" relating to the provision of rehabilitation services in the State to align with the federal Rehabilitation Act of 1973; and defining ""disability"" as any physical or mental impairment that constitutes or results in a substantial impediment to employment or independent living.","The bill amends the definition of 'disability' in Maryland's education law to align with federal standards, clarifying that it includes physical or mental impairments that substantially impede employment or independent living.",Maryland Department of Education,Individuals with physical or mental impairments seeking rehabilitation services and employment support in Maryland.,The bill's focus on disability and rehabilitation services does not directly impact small business failure rates.,1.0
2024 Regular Session,HB0062,State Employee Rights and Protections - Personnel Actions and Harassment - Investigation of Complaints,"Increasing, from 30 days to 60 days, the time period during which an investigation must be conducted and a written decision must be issued regarding a complaint filed by an applicant or employee alleging discrimination or harassment by an employer; and authorizing certain applicants and employees to provide written authorization to increase by an additional 30 days the time period during which an investigation of a complaint and a written decision must be completed.","The bill extends the investigation period for complaints of discrimination or harassment filed by state employees from 30 days to 60 days, with an option to extend by an additional 30 days if the employee provides written authorization.",State Personnel and Pensions Department,State employees who file complaints of discrimination or harassment,The bill does not directly impact small businesses or their failure rates.,0.0
2024 Regular Session,HB0063,Property Tax - Credit for Dwelling House of Disabled Veterans - Alterations,"Altering eligibility for a certain property tax credit against the county or municipal corporation property tax on the dwelling house of certain disabled veterans to include individuals who have been declared by the U.S. Department of Veterans Affairs to have a nonpermanent service-connected disability of 100% that results from blindness or any other disabling cause; authorizing a county or municipal corporation, notwithstanding certain provisions of the Act, to enact a law limiting eligibility for the tax credit; etc.","The bill amends Maryland law to expand eligibility for a property tax credit for disabled veterans by including those with a nonpermanent, service-connected disability rating of 100%, and allows local governments to limit eligibility further if they choose.",The governing body of each county or municipal corporation in Maryland responsible for enacting laws to grant the property tax credit.,"Disabled veterans and their families in Maryland, particularly those with nonpermanent, service-connected disabilities.",The bill does not directly impact small businesses or their failure rates; it focuses on property tax credits for disabled veterans.,1.0
2024 Regular Session,HB0066,"Property Tax Credits - Public School Employees, Health and Safety Improvements, and Property Used for Local Housing Programs","Authorizing the Mayor and City Council of Baltimore City or the governing body of a county or municipal corporation to grant, by law, a certain property tax credit for certain residential real property owned by a public school employee under certain circumstances; authorizing the Mayor and City Council of Baltimore City or the governing body of a county or municipal corporation to grant, by law, a certain property tax credit for certain buildings if the owner made certain health or safety improvements on or after July 1, 2024; etc.","The bill authorizes local governments in Maryland to grant property tax credits for certain residential properties, including those owned by public school employees, buildings that have made health or safety improvements, and properties used for local housing programs for homeless individuals or families.","The governing bodies of Baltimore City, counties, or municipal corporations in Maryland.","Public school employees, residents of apartment and condominium buildings, owners of buildings used for local housing programs, and homeless individuals or families.","The bill primarily targets residential properties and public employees, with no direct provisions aimed at small business failure reduction.",1.0
2024 Regular Session,HB0067,"Insurance - Penalties - Unauthorized Insurers, Insurance Producers, and Public Adjusters","Altering the maximum civil penalty to which an unauthorized insurer or person that violates certain provisions of State insurance law is subject for each violation; and altering the maximum civil penalty that the Maryland Insurance Commissioner may impose, in addition to suspending or revoking the license, on the holder of an insurance producer license or a public adjuster licensee for each violation of State insurance law.","The bill increases the maximum civil penalties for violations by unauthorized insurers and insurance licensees, and modifies enforcement provisions related to licensing, misconduct, and penalties for insurance professionals in Maryland.",Maryland Insurance Commissioner and the Maryland Insurance Administration,"Insurance companies, insurance producers, public adjusters, and consumers in Maryland","The bill's focus on penalties and enforcement may improve the integrity of the insurance market, indirectly supporting small business stability, but it does not directly target small business failure rates.",4.0
2024 Regular Session,HB0068,"Continuing Care Retirement Communities - Transparency, Grievances, and Unit Reoccupancy","Requiring a provider to post the provider's most recent disclosure statement on the provider's website; increasing from yearly to quarterly the number of times a provider is required to hold a meeting open to all the provider's subscribers; requiring at the last quarterly meeting of the year an officer of the provider to give an aggregated, deidentified summary of internal grievances; requiring a provider to submit a written report to a subscriber or a beneficiary if the subscriber's unit has not been reoccupied within 9 months; etc.","The bill enhances transparency, governance, grievance procedures, and unit reoccupancy policies for Continuing Care Retirement Communities in Maryland, including requirements for disclosure statements, governing body composition, and refund processes.",Department of Aging,Residents of Continuing Care Retirement Communities and their families in Maryland,"The bill's provisions aim to improve operational transparency and resident relations, which could reduce small business failures in the senior housing sector by fostering better governance and resident trust.",7.0
2024 Regular Session,HB0075,Higher Education - Teacher Development and Retention Program - Alterations,"Altering the definition of ""institution of initial eligibility"" to include community colleges as eligible institutions as part of the criteria for applicants for the Teacher Development and Retention Program; altering the evaluation requirements for the Program; requiring the Higher Education Commission to conduct an evaluation of the effectiveness of the Program and report the results to the Governor and the General Assembly by January 1, 2030; and altering the termination date from June 30, 2029 to June 30, 2030.","The bill expands the Maryland Teacher Development and Retention Program to include community colleges as eligible institutions, extends the program's duration, and authorizes the use of the Teacher Development and Retention Fund for administrative expenses. It aims to incentivize students to pursue teaching careers, especially in high-need areas, through stipends and service commitments.",The Maryland State Department of Education and the Maryland Higher Education Commission are responsible for implementing the program and managing the fund.,"Prospective teachers, students at community colleges and higher education institutions, and students in high-need schools in Maryland.","The program is focused on teacher development and retention, not directly on small business support, so its impact on small business failure rates is likely minimal.",2.0
2024 Regular Session,HB0076,Health Occupations - Pharmacists - Administration of Vaccines,Authorizing a pharmacist to order and administer certain vaccinations to individuals in certain age groups if certain requirements are met; altering the vaccinations that a pharmacist can administer to individuals at least 3 years old; and altering the circumstances under which a pharmacist may administer certain vaccinations.,"The bill authorizes pharmacists in Maryland to order and administer certain vaccines, including influenza, COVID-19, and others in response to public health emergencies, to individuals as young as 3 or 5 years old under specified conditions, with training and reporting requirements.",Maryland State Board of Pharmacy and Department of Health,"Individuals of all ages in Maryland, especially children and adults receiving vaccinations from pharmacists","By expanding pharmacists' authority to administer vaccines, the bill may help increase vaccination rates and reduce barriers to healthcare, potentially lowering small business failure related to health crises.",7.0
2024 Regular Session,HB0078,Maryland Environmental Service – Governance and Requirements,"Authorizing the Secretary of the Board of Directors of the Maryland Environmental Service to delegate certain responsibilities to an employee of the Service; altering the obligations of the Service after receiving a request for services and after entering into a contract;  requiring that an audit be made of the financial books, records, and accounts of the Service by November 15 each year; and requiring the Service to report to the Governor and the General Assembly on its activities by November 15 each year.","The bill makes changes to the governance, reporting, and operational procedures of the Maryland Environmental Service, including adjusting quorum requirements, delegation of responsibilities, and reporting deadlines.","The Maryland Environmental Service and its Board of Directors, with oversight and approval from the Secretary of Natural Resources.","The Maryland Environmental Service, local governments, and the general public who rely on the services provided by the Maryland Environmental Service.","The bill facilitates the Service's ability to enter into contracts with municipalities and persons, potentially streamlining operations and reducing financial uncertainties for small businesses involved.",6.0
2024 Regular Session,HB0084,Hospitals and Urgent Care Centers - Sepsis Protocol (Lochlin's Law),"Requiring, on or before January 1, 2025, each hospital and urgent care center in the State to implement an evidence-based protocol for the early recognition and treatment of a patient with sepsis, severe sepsis, or septic shock that is based on generally acceptable standards of care; requiring a specialty psychiatric hospital to establish a certain process; and requiring hospitals and urgent care centers to require periodic training in the implementation of the protocol for certain staff.","The bill requires all hospitals and urgent care centers in Maryland to implement evidence-based protocols for early recognition and treatment of sepsis, severe sepsis, and septic shock by January 1, 2025. It mandates staff training, adherence to CDC guidelines, and data collection for quality improvement.",Maryland Department of Health,"Hospitals, urgent care centers, and patients with sepsis in Maryland","While primarily focused on healthcare protocols, the bill may indirectly support small healthcare providers by standardizing sepsis care, but it does not directly target small business failure reduction.",3.0
2024 Regular Session,HB0086,"Public and Nonpublic Schools - Bronchodilators - Use, Availability, Training, and Policies","Requiring the State Department of Education, in consultation with certain groups, to develop training for certain school personnel to identify symptoms of anaphylaxis, asthma, and respiratory distress in students; requiring the Maryland Department of Health, in consultation with county boards, and authorizing nonpublic schools to establish a policy to obtain, administer, and train certain school personnel to administer emergency bronchodilators to a student who is determined to be, or is perceived to be, experiencing asthma-related symptoms; etc.","The bill authorizes public and nonpublic schools in Maryland to establish policies allowing trained school personnel to administer auto-injectable epinephrine and bronchodilators to students experiencing severe allergic reactions, asthma, or respiratory distress. It also mandates training for school staff, outlines procedures for emergency response, and provides for funding and liability protections.",Maryland Department of Education in collaboration with the Maryland Department of Health and licensed healthcare providers.,"Students with allergies, asthma, or respiratory issues; school nurses and personnel; parents and guardians of students; schools and school districts in Maryland.","The bill includes provisions for grants and donations to fund the purchase of emergency medications, which could help schools manage health emergencies more effectively, potentially reducing disruptions and associated costs that could contribute to small business failures.",4.0
2024 Regular Session,HB0088,State Retirement and Pension System - Immediate Vesting,Providing that an individual serving as the State Superintendent of Schools shall immediately vest in the State Retirement and Pension System.,The bill provides that the State Superintendent of Schools shall immediately vest in the State Retirement and Pension System upon taking office.,State Retirement Agency and the Maryland State Department of Education,The State Superintendent of Schools and the employees of the State Retirement and Pension System,This bill does not directly impact small businesses or their failure rates.,0.0
2024 Regular Session,HB0090,Insurance - Hearing Representation,"Requiring the Maryland Insurance Commissioner to allow corporations, partnerships, limited liability companies, and sole proprietorships that are small employers to be represented by certain authorized individuals rather than an attorney in certain hearings held by the Commissioner.",The bill requires the Maryland Insurance Commissioner to allow small business entities that are small employers to be represented by authorized individuals other than attorneys during certain hearings.,Maryland Insurance Commissioner,Small business entities classified as small employers in Maryland,"By allowing small businesses to be represented by designated individuals rather than attorneys, the bill aims to make hearing processes more accessible and less costly, potentially reducing business failures related to insurance disputes.",7.0
2024 Regular Session,HB0092,Resources and Education for All Prisons (REAP) Act,"Requiring the Department of Public Safety and Correctional Services to assist incarcerated individuals in accessing federal Pell Grants for higher education; requiring the Department to set goals for the number of incarcerated individuals in postsecondary education programs, establish tracking systems for their progress in postsecondary education programs, and forward certain data to the Maryland Higher Education Commission; requiring the Commission to assist the Department in establishing the tracking systems; etc.",The bill requires the Maryland Department of Public Safety and Correctional Services to assist incarcerated individuals in accessing federal Pell Grants and to establish tracking systems for their participation and progress in postsecondary education programs within correctional facilities. It also involves collaboration with higher education institutions and allocates funding for marketing and tracking systems.,Maryland Department of Public Safety and Correctional Services and Maryland Higher Education Commission,Incarcerated individuals in Maryland correctional facilities seeking higher education opportunities,The bill does not directly address small businesses or their failure rates.,0.0
