YearAndSession,BillNumber,Title,Synopsis,bill_summary,programmatic,program_start_year,program_end_year,funding,responsible_party,stakeholders,access_to_capital_summary,access_to_capital_score
2024 Regular Session,HB0030,Health Insurance – Conformity With Federal Law,"Conforming provisions of State health insurance law with existing federal requirements, including updating effective dates for federal regulations, clarifying federal consumer protection regulations resulting from changes to the federal No Surprises Act, altering the material errors that trigger special enrollment periods, and authorizing the Maryland Health Benefits Exchange to adopt an expanded open enrollment period under certain circumstances.","This bill updates Maryland's health insurance laws to conform with federal regulations, including changes to the No Surprises Act, emergency services, and open enrollment periods, and authorizes the Maryland Health Benefits Exchange to expand open enrollment under certain circumstances.",False,2024,2024,0.0,Maryland Department of Health and the Maryland Health Benefits Exchange,"Health insurance consumers in Maryland, including individuals and small employers",The bill primarily updates regulations and procedures related to health insurance and does not directly impact small business access to capital.,1.0
2024 Regular Session,HB0035,Property Tax - Submission of Building Permits to Supervisor of Assessments - Estimated Construction Cost,Requiring local permit offices to include a construction cost estimate when submitting a copy of a building permit to the supervisor of assessments of the county where the building is located.,The bill requires local permit offices to include an estimated construction cost when submitting a copy of a building permit to the county supervisor of assessments.,False,2024,0,0.0,Local permit offices and county supervisors of assessments,"Property owners, local government assessors, and potential property buyers","The bill's focus on construction cost estimates may indirectly influence property valuation and financing, but it does not directly impact access to capital for small businesses.",3.0
2024 Regular Session,HB0036,Insurance - Protections After Loss or Damage to Property,"Prohibiting a public adjuster, or anyone acting on behalf of a public adjuster, from soliciting or attempting to solicit a client between the hours of 8:00 p.m. and 8:00 a.m.; altering the statements that are required to be included in a public adjuster contract; altering a certain rescission period for public adjuster contracts; and requiring a public adjuster to provide notice to the Commissioner, in a form and manner the Commissioner determines, within 1 business day after the public adjuster has entered into a contract.","The bill updates regulations for public adjusters, including restrictions on solicitation periods after a loss, contract disclosures, and notice requirements to the Maryland Insurance Commissioner. It also addresses fraudulent practices by contractors related to insurance claims.",False,2024,2024,0.0,Maryland Insurance Administration,"Insurance policyholders, public adjusters, contractors, and insurance companies in Maryland",The bill does not directly create or fund programs that impact small business access to capital.,1.0
2024 Regular Session,HB0038,Baltimore City - Motor Vehicle Off-Street Parking Requirements Near Mass Transit Stations,"Prohibiting the Mayor and City Council of Baltimore City from adopting or enforcing a local law that requires the creation of new motor vehicle off-street parking for a development that includes residential use and that is located within a 0.25-mile radius of a present or planned MARC, Baltimore MTA Light Rail, Red Line, or Metro station.","The bill prohibits Baltimore City from requiring new off-street parking for residential developments within 0.25 miles of certain transit stations, including MARC, Baltimore MTA Light Rail, Red Line, or Metro stations.",False,2024,2024,0.0,Baltimore City Government,Residential developers and residents near transit stations in Baltimore City,"The bill may facilitate development and reduce costs for residential projects near transit stations, potentially improving access to capital for developers.",6.0
2024 Regular Session,HB0039,Residential Service Agencies - Reimbursement - Personal Assistance Services (Homecare Worker Rights Act of 2024),Authorizing the Maryland Department of Health to reimburse a residential service agency for personal assistance services only if the personal assistance services are provided by an individual classified as an employee.,"The bill authorizes the Maryland Department of Health to reimburse residential service agencies for personal assistance services only if those services are provided by an individual classified as an employee, starting from January 1, 2026.",True,2026,0,0.0,Maryland Department of Health,"Residential service agencies, personal assistance service providers, individuals receiving personal assistance services","The bill could impact the financial model of residential service agencies by requiring them to classify personal assistance providers as employees to qualify for reimbursement, potentially affecting their access to capital.",7.0
2024 Regular Session,HB0042,Public Health - Public Health Services and Protections - Revisions,"Repealing the exceptions that allow the sale, distribution, or purchase of tobacco products, tobacco paraphernalia, and electronic smoking devices to or for certain individuals who are active duty members of the military; authorizing the Maryland Department of Health to reallocate from one county to another county certain projected unspent grant funding relating to cancer to address certain funding needs; altering the duties of the State Council on Child Abuse and Neglect; etc.","The bill updates Maryland laws to raise the legal age for purchasing tobacco and electronic smoking devices to 21, restricts sales to active military members under 21, and enhances enforcement and signage requirements. It also consolidates child abuse and neglect reporting and funding responsibilities, and reallocates unspent cancer prevention funds.",True,2024,2034,0.0,Maryland Department of Health and local law enforcement agencies,"Young adults under 21, military personnel, tobacco retailers, children at risk of abuse, public health agencies","The bill primarily focuses on public health regulations and enforcement, with no direct programs aimed at increasing access to capital for small businesses.",1.0
2024 Regular Session,HB0043,Motor Vehicle Registration - Exceptions for Golf Carts - Authorization,"Authorizing counties and municipalities to designate certain highways in their respective jurisdictions on which a person may operate a golf cart; authorizing a person with a valid driver's license to operate a golf cart only on a highway with a maximum posted speed limit of not more than 30 miles per hour or 35 miles per hour in Golden Beach Patuxent Knolls, St. Mary's County, between dawn and dusk, and if the golf cart is equipped with certain lighting devices; etc.","The bill authorizes counties and municipalities in Maryland to designate specific highways where golf carts can be operated, repeals previous authorizations for golf carts on certain highways, and clarifies regulations for golf cart operation including lighting and licensing requirements.",False,2024,0,0.0,Maryland Department of Transportation or local county and municipal governments,"Golf cart operators, local governments, and residents in Maryland",The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0045,"Natural Resources - Sale, Barter, or Exchange of Mounted Specimens From Decedent's Estate","Authorizing the sale, barter, or exchange of a legally acquired mounted specimen of a game bird, excluding a migratory game bird, or game mammal, from a decedent's estate and the specimen is part of the personal property being liquidated or distributed.","The bill allows for the sale, barter, or exchange of mounted specimens of game birds or mammals from a decedent's estate under certain conditions, specifically when the original owner is deceased and the specimen is part of the estate being liquidated or distributed.",False,2024,2024,0.0,Maryland Department of Natural Resources,"Estate owners, collectors, and the general public interested in game specimens","The bill potentially increases the ability for estate owners and collectors to monetize mounted specimens, thereby improving access to capital for those involved in such transactions.",6.0
2024 Regular Session,HB0051,Public Health - Maryland Pediatric Cancer Fund and Commission,"Altering the use of the Maryland Pediatric Cancer Fund to require that the Fund be used only for pediatric cancer research instead of only for pediatric cancer research, prevention, and treatment and to allow funds from the Fund to be used for administrative expenses; and establishing the Pediatric Cancer Research Commission to oversee the award of competitive grants from the Fund and to develop criteria and a process for reviewing grant applications.","The bill modifies the Maryland Pediatric Cancer Fund to restrict its use solely for pediatric cancer research, allows funds to cover administrative expenses, and establishes the Pediatric Cancer Research Commission to oversee grant awards from the Fund.",True,2024,0,5000000.0,Maryland Department of Health,"Pediatric cancer patients, researchers, hospitals, and organizations involved in pediatric cancer research in Maryland",The program has a high potential to impact access to capital for pediatric cancer research through grants and funding oversight.,8.0
2024 Regular Session,HB0052,State Employees - Parental Bereavement Leave,Providing that certain State employees are entitled to use up to 10 days of parental bereavement leave with pay within 60 days after the death of the employee's child; providing that certain State employees are entitled to use up to 60 days of parental bereavement leave within 60 days after the employee experiences a stillbirth or the death of the employee's infant; and prohibiting certain State entities from requiring State employees entitled to parental bereavement leave under the Act to use any other paid leave available to the employee.,"The bill provides parental bereavement leave with pay for certain State employees in the event of the death of a child or a stillbirth, specifying the duration and conditions for use.",True,2024,0,0.0,"Maryland State Government, specifically the Department of Budget and Management or relevant State agencies implementing employee leave policies.","State employees in the executive, judicial, and legislative branches, and employees of public higher education institutions in Maryland.",The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0054,Property Tax - Transfer to Heir or Legatee - Payment Plans,Exempting a grant of land transferring residential real property from the estate of a decedent to an heir or a legatee of the decedent from certain requirements for the payment of taxes on real property if the heir or legatee of the decedent enters into a payment plan to pay all the taxes due and owed on the property; exempting a grant of land that is subject to a payment plan for property taxes from certain requirements for the payment of taxes if the grantee agrees to assume the grantor's obligations under the payment plan; etc.,"The bill establishes programs and provisions to facilitate installment payment plans for property taxes, especially for properties transferred from a decedent's estate to an heir or legatee, and creates a State Tax Sale Ombudsman to assist homeowners with delinquent taxes and payment plans.",True,2024,9999,0.0,"Department of Assessments and Taxation, State Tax Sale Ombudsman, county and municipal governments","Homeowners, heirs, legatees, property owners with delinquent taxes","The bill's programs could improve homeowners' ability to manage tax payments and avoid tax sales, indirectly supporting access to capital by reducing financial distress.",6.0
2024 Regular Session,HB0055,Maryland Commission on Veterans and Military Families,"Establishing the Maryland Commission on Veterans and Military Families to study developing and implementing a statewide strategic plan to make Maryland the best state for veterans and military families, including legislative and budgetary recommendations; requiring the Commission to consult with the Office of Military and Federal Affairs and the Maryland Military Installation Council as part of the study process; and requiring the Commission to report its findings to the Governor and the General Assembly by December 1, 2024.","The bill establishes the Maryland Commission on Veterans and Military Families to develop a strategic plan to make Maryland the best state for veterans and military families, including making recommendations and identifying key performance indicators.",True,2024,2025,0.0,Department of Veterans Affairs,"Veterans, military families, advocacy organizations, military service members, and health care providers in Maryland",The bill does not directly address access to capital for small business owners or entrepreneurs.,1.0
2024 Regular Session,HB0060,Rehabilitation Services - Disability - Definition,"Altering the definition of ""disability"" relating to the provision of rehabilitation services in the State to align with the federal Rehabilitation Act of 1973; and defining ""disability"" as any physical or mental impairment that constitutes or results in a substantial impediment to employment or independent living.","The bill updates the legal definition of 'disability' in Maryland to align with federal law, specifying it as a physical or mental impairment that substantially impedes employment or independent living.",False,2024,0,0.0,Maryland Department of Education,Individuals with disabilities in Maryland,The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0062,State Employee Rights and Protections - Personnel Actions and Harassment - Investigation of Complaints,"Increasing, from 30 days to 60 days, the time period during which an investigation must be conducted and a written decision must be issued regarding a complaint filed by an applicant or employee alleging discrimination or harassment by an employer; and authorizing certain applicants and employees to provide written authorization to increase by an additional 30 days the time period during which an investigation of a complaint and a written decision must be completed.","The bill extends the investigation period for complaints of discrimination or harassment filed by state employees from 30 days to 60 days, with an option to extend by an additional 30 days if the complainant provides written authorization.",False,2024,2024,0.0,State Personnel and Pensions Department,State employees and applicants filing complaints of discrimination or harassment,The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0063,Property Tax - Credit for Dwelling House of Disabled Veterans - Alterations,"Altering eligibility for a certain property tax credit against the county or municipal corporation property tax on the dwelling house of certain disabled veterans to include individuals who have been declared by the U.S. Department of Veterans Affairs to have a nonpermanent service-connected disability of 100% that results from blindness or any other disabling cause; authorizing a county or municipal corporation, notwithstanding certain provisions of the Act, to enact a law limiting eligibility for the tax credit; etc.","The bill amends Maryland law to expand eligibility for a property tax credit for disabled veterans by including those with a nonpermanent, service-connected disability rating of 100%, and allows local governments to set specific eligibility criteria, including limiting the credit to certain individuals.",False,2024,2024,0.0,Local governments (county or municipal corporations) in Maryland,Disabled veterans and their families in Maryland,The bill does not directly impact access to capital for small business owners; it focuses on property tax credits for disabled veterans.,1.0
2024 Regular Session,HB0066,"Property Tax Credits - Public School Employees, Health and Safety Improvements, and Property Used for Local Housing Programs","Authorizing the Mayor and City Council of Baltimore City or the governing body of a county or municipal corporation to grant, by law, a certain property tax credit for certain residential real property owned by a public school employee under certain circumstances; authorizing the Mayor and City Council of Baltimore City or the governing body of a county or municipal corporation to grant, by law, a certain property tax credit for certain buildings if the owner made certain health or safety improvements on or after July 1, 2024; etc.","The bill authorizes local governments in Maryland to grant property tax credits for public school employees' primary residences, for health or safety improvements made to apartment or condominium buildings after July 1, 2024, and for properties used in local housing programs for homeless individuals or families.",False,2024,0,0.0,"Local governments in Maryland (Baltimore City, counties, municipal corporations)","Public school employees, residents of apartment and condominium buildings, homeless individuals and families, property owners, local governments",The bill's focus on property tax credits for specific groups and improvements suggests a moderate potential to impact access to capital for small business owners involved in property improvements or related activities.,5.0
2024 Regular Session,HB0067,"Insurance - Penalties - Unauthorized Insurers, Insurance Producers, and Public Adjusters","Altering the maximum civil penalty to which an unauthorized insurer or person that violates certain provisions of State insurance law is subject for each violation; and altering the maximum civil penalty that the Maryland Insurance Commissioner may impose, in addition to suspending or revoking the license, on the holder of an insurance producer license or a public adjuster licensee for each violation of State insurance law.","The bill increases civil penalties for violations by unauthorized insurers and insurance professionals, and expands the grounds and enforcement powers of the Maryland Insurance Commissioner to suspend, revoke, or fine licenses of violators.",False,2024,2024,0.0,Maryland Insurance Commissioner,"Insurance professionals, unauthorized insurers, and consumers in Maryland",The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0068,"Continuing Care Retirement Communities - Transparency, Grievances, and Unit Reoccupancy","Requiring a provider to post the provider's most recent disclosure statement on the provider's website; increasing from yearly to quarterly the number of times a provider is required to hold a meeting open to all the provider's subscribers; requiring at the last quarterly meeting of the year an officer of the provider to give an aggregated, deidentified summary of internal grievances; requiring a provider to submit a written report to a subscriber or a beneficiary if the subscriber's unit has not been reoccupied within 9 months; etc.","This bill enhances transparency, governance, grievance procedures, and financial processes for continuing care retirement communities in Maryland, including requirements for disclosure statements, resident involvement, and refund procedures.",False,2024,2024,0.0,Department of Aging,Residents of continuing care retirement communities in Maryland,"The bill's provisions primarily focus on governance, transparency, and grievance procedures, with limited direct impact on small business access to capital.",3.0
2024 Regular Session,HB0075,Higher Education - Teacher Development and Retention Program - Alterations,"Altering the definition of ""institution of initial eligibility"" to include community colleges as eligible institutions as part of the criteria for applicants for the Teacher Development and Retention Program; altering the evaluation requirements for the Program; requiring the Higher Education Commission to conduct an evaluation of the effectiveness of the Program and report the results to the Governor and the General Assembly by January 1, 2030; and altering the termination date from June 30, 2029 to June 30, 2030.","The bill expands the Maryland Teacher Development and Retention Program to include community colleges as eligible institutions, extends the program's duration, and modifies evaluation and administrative provisions. It provides stipends for students pursuing teaching careers in high-need areas and establishes a dedicated fund to support these efforts.",True,2024,2030,0.0,Maryland State Department of Education,"Prospective teachers, students at community colleges and higher education institutions, high-need schools, and students in those schools","The program provides financial stipends and support to aspiring teachers, which can significantly impact their ability to access capital for education and career development.",8.0
2024 Regular Session,HB0076,Health Occupations - Pharmacists - Administration of Vaccines,Authorizing a pharmacist to order and administer certain vaccinations to individuals in certain age groups if certain requirements are met; altering the vaccinations that a pharmacist can administer to individuals at least 3 years old; and altering the circumstances under which a pharmacist may administer certain vaccinations.,"The bill authorizes pharmacists in Maryland to order and administer certain vaccines, including influenza, COVID-19, and others in response to public health emergencies, to individuals of specific age groups under specified training and certification requirements.",True,2024,2024,0.0,Maryland State Board of Pharmacy,"Maryland residents, especially children and adults receiving vaccinations from pharmacists","The program could improve access to vaccines, which may indirectly facilitate access to healthcare and related services, but does not directly impact small business capital access.",3.0
2024 Regular Session,HB0078,Maryland Environmental Service – Governance and Requirements,"Authorizing the Secretary of the Board of Directors of the Maryland Environmental Service to delegate certain responsibilities to an employee of the Service; altering the obligations of the Service after receiving a request for services and after entering into a contract;  requiring that an audit be made of the financial books, records, and accounts of the Service by November 15 each year; and requiring the Service to report to the Governor and the General Assembly on its activities by November 15 each year.","The bill makes changes to the governance, responsibilities, and reporting requirements of the Maryland Environmental Service, including adjusting quorum thresholds, delegation of responsibilities, and audit/report deadlines.",False,2024,2024,0.0,Maryland Environmental Service,Government agencies and the public served by the Maryland Environmental Service,The bill does not directly impact small business access to capital.,1.0
2024 Regular Session,HB0084,Hospitals and Urgent Care Centers - Sepsis Protocol (Lochlin's Law),"Requiring, on or before January 1, 2025, each hospital and urgent care center in the State to implement an evidence-based protocol for the early recognition and treatment of a patient with sepsis, severe sepsis, or septic shock that is based on generally acceptable standards of care; requiring a specialty psychiatric hospital to establish a certain process; and requiring hospitals and urgent care centers to require periodic training in the implementation of the protocol for certain staff.","The bill requires all hospitals and urgent care centers in Maryland to implement an evidence-based sepsis recognition and treatment protocol by January 1, 2025. It mandates staff training, protocol updates, and data collection for quality improvement.",True,2025,0,0.0,Maryland Department of Health,"Hospitals, urgent care centers, and patients with sepsis in Maryland","The bill primarily focuses on healthcare protocols and staff training, with no direct impact on small business access to capital.",1.0
2024 Regular Session,HB0086,"Public and Nonpublic Schools - Bronchodilators - Use, Availability, Training, and Policies","Requiring the State Department of Education, in consultation with certain groups, to develop training for certain school personnel to identify symptoms of anaphylaxis, asthma, and respiratory distress in students; requiring the Maryland Department of Health, in consultation with county boards, and authorizing nonpublic schools to establish a policy to obtain, administer, and train certain school personnel to administer emergency bronchodilators to a student who is determined to be, or is perceived to be, experiencing asthma-related symptoms; etc.","The bill authorizes public and nonpublic schools in Maryland to establish policies allowing trained school personnel to administer emergency medications, specifically auto-injectable epinephrine for severe allergic reactions and bronchodilators for asthma and respiratory distress, including training, procedures, and storage requirements.",True,2024,2024,0.0,Maryland Department of Education and Maryland Department of Health,"Students with allergies, asthma, or respiratory issues; school personnel; parents and guardians","The bill facilitates access to emergency medications in schools, potentially improving immediate treatment options for students with respiratory conditions, thereby impacting access to emergency medical interventions.",7.0
2024 Regular Session,HB0088,State Retirement and Pension System - Immediate Vesting,Providing that an individual serving as the State Superintendent of Schools shall immediately vest in the State Retirement and Pension System.,The bill provides that the State Superintendent of Schools will immediately vest in the State Retirement and Pension System upon taking office.,False,2024,2024,0.0,State Retirement Agency,State Superintendent of Schools and the State Retirement System,The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0090,Insurance - Hearing Representation,"Requiring the Maryland Insurance Commissioner to allow corporations, partnerships, limited liability companies, and sole proprietorships that are small employers to be represented by certain authorized individuals rather than an attorney in certain hearings held by the Commissioner.","The bill requires the Maryland Insurance Commissioner to allow small business entities to be represented by authorized individuals other than attorneys during certain insurance hearings, and clarifies rules for hearing procedures and virtual participation.",True,2024,0,0.0,Maryland Insurance Administration,"Small business entities, insurance companies, and individuals involved in insurance hearings in Maryland.","The bill potentially improves the ability of small business entities to participate in insurance hearings, which could indirectly impact their access to capital by streamlining dispute resolution processes.",4.0
2024 Regular Session,HB0092,Resources and Education for All Prisons (REAP) Act,"Requiring the Department of Public Safety and Correctional Services to assist incarcerated individuals in accessing federal Pell Grants for higher education; requiring the Department to set goals for the number of incarcerated individuals in postsecondary education programs, establish tracking systems for their progress in postsecondary education programs, and forward certain data to the Maryland Higher Education Commission; requiring the Commission to assist the Department in establishing the tracking systems; etc.",The bill requires the Maryland Department of Public Safety and Correctional Services to assist incarcerated individuals in accessing federal Pell Grants and to establish tracking systems for their participation in postsecondary education programs. It also involves coordination with higher education institutions and sets goals for education programs within correctional facilities.,True,2024,0,0.0,Department of Public Safety and Correctional Services and Maryland Higher Education Commission,"Incarcerated individuals seeking higher education, correctional facilities, higher education institutions in Maryland","The bill has a high potential to improve access to education funding for incarcerated individuals, which could indirectly enhance their access to capital through increased education and skills development.",8.0
2024 Regular Session,HB0093,Landlord and Tenant - Termination of Residential Lease - Limitation of Liability for Rent,"Limiting a tenant's liability for rent to not more than 2 months' rent after the date on which the tenant vacates a leased premises if a physician or psychologist completes a form specifying that the tenant has a mental disorder, the management of which is substantially limited by the leased premises.","The bill limits a tenant’s liability for rent after vacating a leased property if a licensed physician, therapist, or psychologist certifies that the tenant has a certain disability or mental disorder that affects their ability to live at the premises or requires higher care. The liability is capped at two months' rent.",False,2024,2024,0.0,Maryland Department of Housing and Community Development or relevant local housing authorities,"Tenants with disabilities or mental disorders, landlords, property management companies",The bill does not directly impact access to capital for small business owners; it pertains to tenant rent liability in housing.,1.0
2024 Regular Session,HB0094,Correctional Services - Inmate Employment - Agricultural Work,Repealing the authority of the Division of Correction to arrange for inmates not needed or being used by the State Highway Administration to perform emergency road work to be employed in agricultural work during any part of the year at a camp in Queen Anne's County or any other county with a similar camp.,"The bill repeals the authority of the Maryland Division of Correction to employ inmates in agricultural work in certain camps, effectively ending this practice.",False,2024,2024,0.0,"Division of Correction, Maryland Department of Public Safety and Correctional Services","Inmates, correctional system, agricultural employers, local communities",The bill does not directly impact access to capital for small business owners.,1.0
