YearAndSession,BillNumber,Title,Synopsis,bill_summary,programmatic,program_start_year,program_end_year,funding,responsible_party,stakeholders,innovative_summary,innovative_score,child_poverty_direct_summary,child_poverty_direct_score
2024 Regular Session,HB0023,Maryland Health Benefit Exchange - Qualified Health Plans - Dental Coverage,Repealing a certain provision of law providing that a qualified health plan is not required under certain circumstances to provide essential benefits that duplicate the minimum benefits of qualified dental plans; and repealing the authority of the Maryland Health Benefit Exchange to require children enrolling in a qualified health plan to have essential pediatric dental benefits required by the federal Secretary of Health and Human Services.,"The bill repeals certain provisions related to the requirement for qualified health plans to include essential dental and pediatric dental benefits in Maryland's health exchange. It clarifies that health benefit plans are not required to duplicate dental benefits if dental plans are available through the exchange and repeals the authority for requiring children to enroll in dental plans with pediatric dental benefits. It updates the regulations governing the certification and sale of health, dental, and vision plans and sets the effective date for these changes to January 1, 2025.",True,2025,0,0.0,Maryland Health Benefit Exchange and Maryland Department of Insurance,"Individuals purchasing health plans in Maryland, children needing pediatric dental benefits, health insurance carriers, and healthcare providers in Maryland.","The bill updates and streamlines the certification and offering process for health, dental, and vision plans, incorporating federal standards and offering flexibility in coverage options. It also clarifies the conditions under which dental benefits are included, but does not appear to introduce new technologies or novel approaches.",2,"The bill may have a moderate direct impact on child poverty by clarifying dental coverage options for children, potentially improving access to dental care.",3
2024 Regular Session,HB0026,"Small, Minority, and Women-Owned Businesses Account - Alterations","Altering the type of financial assistance that may be provided by eligible fund managers who receive grants from the Small, Minority, and Women-Owned Businesses Account in the Department of Commerce to allow grants of up to $10,000 in conjunction with a loan.","The bill amends the Maryland Small, Minority, and Women-Owned Businesses Account to alter the types of financial assistance, expanding the use of grants and loans to support small, minority, and women-owned businesses, especially in disaster and emergency situations, and allocates funds from the Strategic Energy Investment Fund for clean energy industry businesses.",True,2024,2024,10000000.0,Maryland Department of Commerce,"Small, minority, women-owned, and veteran-owned businesses in Maryland, especially in disaster-affected areas and clean energy sector","The program employs a combination of grant and loan funding managed through eligible fund managers, tailored to emergency declarations and clean energy businesses, which represents a novel approach to targeted economic support.",4,"High potential to impact child poverty by supporting small and minority-owned businesses, which can lead to job creation and economic growth in vulnerable communities.",4
2024 Regular Session,HB0030,Health Insurance – Conformity With Federal Law,"Conforming provisions of State health insurance law with existing federal requirements, including updating effective dates for federal regulations, clarifying federal consumer protection regulations resulting from changes to the federal No Surprises Act, altering the material errors that trigger special enrollment periods, and authorizing the Maryland Health Benefits Exchange to adopt an expanded open enrollment period under certain circumstances.","This bill updates Maryland's health insurance laws to conform with federal requirements, clarifies regulations related to emergency and mental health services, and modifies procedures for open enrollment periods and provider designations.",True,2024,2024,0.0,Maryland Department of Health and Maryland Insurance Administration,"Health insurance consumers in Maryland, including those accessing emergency, mental health, and pediatric services","The bill includes some updates aligning state health insurance regulations with federal laws, and introduces provisions for expanded open enrollment and error correction in enrollments, employing existing technology and policies.",2,The bill has moderate potential to impact child poverty by improving access and clarity of health services for children and families.,3
2024 Regular Session,HB0035,Property Tax - Submission of Building Permits to Supervisor of Assessments - Estimated Construction Cost,Requiring local permit offices to include a construction cost estimate when submitting a copy of a building permit to the supervisor of assessments of the county where the building is located.,The bill requires local permit offices to include a construction cost estimate when submitting a copy of a building permit to the county supervisor of assessments.,False,2024,0,0.0,Local permit offices and county supervisors of assessments,"Property owners, local governments, and assessors","The bill introduces a new requirement for submission of estimated construction costs with building permits, but does not involve new technology or approaches.",2,Low potential for direct impact on child poverty.,1
2024 Regular Session,HB0036,Insurance - Protections After Loss or Damage to Property,"Prohibiting a public adjuster, or anyone acting on behalf of a public adjuster, from soliciting or attempting to solicit a client between the hours of 8:00 p.m. and 8:00 a.m.; altering the statements that are required to be included in a public adjuster contract; altering a certain rescission period for public adjuster contracts; and requiring a public adjuster to provide notice to the Commissioner, in a form and manner the Commissioner determines, within 1 business day after the public adjuster has entered into a contract.","The bill enhances regulations on public adjusters, including restrictions on solicitation times after a loss, requirements for contracts, and reporting obligations. It also addresses fraudulent practices related to contractor payments for property damage repairs.",False,2024,2024,0.0,Maryland Insurance Commissioner,"Insurance policyholders, public adjusters, contractors, and insured property owners in Maryland","The bill primarily updates and clarifies existing laws and introduces stricter regulations for public adjusters and contractors, without employing new technologies or approaches.",2,The bill is unlikely to have a direct impact on child poverty.,1
2024 Regular Session,HB0038,Baltimore City - Motor Vehicle Off-Street Parking Requirements Near Mass Transit Stations,"Prohibiting the Mayor and City Council of Baltimore City from adopting or enforcing a local law that requires the creation of new motor vehicle off-street parking for a development that includes residential use and that is located within a 0.25-mile radius of a present or planned MARC, Baltimore MTA Light Rail, Red Line, or Metro station.","The bill prohibits Baltimore City from requiring new off-street parking for residential developments within 0.25 miles of certain transit stations, such as MARC, MTA Light Rail, Red Line, or Metro stations.",False,2024,2024,0.0,Baltimore City Government (Mayor and City Council),Residents and developers of residential developments near transit stations in Baltimore City,"The bill introduces a restriction on parking requirements near transit stations, which is an approach to promoting transit-oriented development and reducing car dependence.",3,The bill has a moderate potential to impact child poverty by encouraging accessible transit and reducing housing costs related to parking.,3
2024 Regular Session,HB0039,Residential Service Agencies - Reimbursement - Personal Assistance Services (Homecare Worker Rights Act of 2024),Authorizing the Maryland Department of Health to reimburse a residential service agency for personal assistance services only if the personal assistance services are provided by an individual classified as an employee.,"The bill authorizes the Maryland Department of Health to reimburse residential service agencies for personal assistance services only if the services are provided by individuals classified as employees, starting January 1, 2026.",False,2026,0,0.0,Maryland Department of Health,"Residential service agencies, personal assistance workers, individuals receiving services","This bill primarily changes reimbursement rules and employment classifications, and does not introduce new technologies or innovative approaches.",1,"The bill may indirectly impact child poverty by affecting employment conditions and funding for personal assistance services, but it does not explicitly target child poverty.",2
2024 Regular Session,HB0042,Public Health - Public Health Services and Protections - Revisions,"Repealing the exceptions that allow the sale, distribution, or purchase of tobacco products, tobacco paraphernalia, and electronic smoking devices to or for certain individuals who are active duty members of the military; authorizing the Maryland Department of Health to reallocate from one county to another county certain projected unspent grant funding relating to cancer to address certain funding needs; altering the duties of the State Council on Child Abuse and Neglect; etc.","The bill updates Maryland's public health regulations by removing exemptions for active military under 21 to purchase tobacco and electronic smoking devices, updating signage requirements, reallocating unspent cancer funding between counties, consolidating child abuse and neglect oversight, and revising enforcement and penalties related to tobacco and vaping products.",False,2024,2024,0.0,Maryland Department of Health,"Military personnel under 21, tobacco and electronic smoking device purchasers, children affected by abuse and neglect, public health agencies, local governments","The bill primarily makes legal, regulatory, and administrative adjustments to existing health and public safety frameworks, with typical approaches to enforcement, signage, and funding reallocation.",1,"The bill's focus is on regulation, enforcement, and administrative reforms rather than direct interventions affecting child poverty.",1
2024 Regular Session,HB0043,Motor Vehicle Registration - Exceptions for Golf Carts - Authorization,"Authorizing counties and municipalities to designate certain highways in their respective jurisdictions on which a person may operate a golf cart; authorizing a person with a valid driver's license to operate a golf cart only on a highway with a maximum posted speed limit of not more than 30 miles per hour or 35 miles per hour in Golden Beach Patuxent Knolls, St. Mary's County, between dawn and dusk, and if the golf cart is equipped with certain lighting devices; etc.","The bill authorizes Maryland counties and municipalities to designate specific highways for golf cart operation. It repeals previous authorizations for golf carts on highways and establishes new rules for their operation, including safety requirements and licensing.",False,2024,0,0.0,Maryland Department of Transportation or local Maryland counties and municipalities,"Golf cart operators, local residents, and jurisdictions in Maryland where golf carts may be operated","The bill employs a localized approach by allowing counties and municipalities to designate highways for golf cart operation and sets safety standards, but does not introduce new technologies or innovative methods.",2,The bill does not have a direct impact on child poverty as it primarily deals with infrastructure and safety regulations for golf carts.,1
2024 Regular Session,HB0045,"Natural Resources - Sale, Barter, or Exchange of Mounted Specimens From Decedent's Estate","Authorizing the sale, barter, or exchange of a legally acquired mounted specimen of a game bird, excluding a migratory game bird, or game mammal, from a decedent's estate and the specimen is part of the personal property being liquidated or distributed.","The bill permits the sale, barter, or exchange of mounted specimens of game birds or game mammals from a decedent's estate under specific circumstances, which was previously prohibited.",False,2024,2024,0.0,Maryland Department of Natural Resources,"Individuals inheriting or managing estates with mounted game specimens, collectors, and the general public interested in game specimens.","This bill introduces a legal exception allowing the sale of mounted specimens from decedents' estates, clarifying legal boundaries for such transactions.",2,The bill is not directly related to child poverty alleviation.,1
2024 Regular Session,HB0051,Public Health - Maryland Pediatric Cancer Fund and Commission,"Altering the use of the Maryland Pediatric Cancer Fund to require that the Fund be used only for pediatric cancer research instead of only for pediatric cancer research, prevention, and treatment and to allow funds from the Fund to be used for administrative expenses; and establishing the Pediatric Cancer Research Commission to oversee the award of competitive grants from the Fund and to develop criteria and a process for reviewing grant applications.","The bill modifies the Maryland Pediatric Cancer Fund to restrict its use solely to pediatric cancer research, allows funds to be used for administrative expenses, establishes the Pediatric Cancer Research Commission to oversee research grants, and outlines administrative and reporting requirements.",True,2024,0,5000000.0,Maryland Department of Health,"Children with pediatric cancer, researchers, hospitals, healthcare providers, and advocacy organizations","The bill creates a dedicated research fund and a new commission to oversee pediatric cancer research grants, employing a structured approach to funding and oversight.",3,"The program's direct impact on child poverty is limited, focusing mainly on pediatric cancer research and support.",2
2024 Regular Session,HB0052,State Employees - Parental Bereavement Leave,Providing that certain State employees are entitled to use up to 10 days of parental bereavement leave with pay within 60 days after the death of the employee's child; providing that certain State employees are entitled to use up to 60 days of parental bereavement leave within 60 days after the employee experiences a stillbirth or the death of the employee's infant; and prohibiting certain State entities from requiring State employees entitled to parental bereavement leave under the Act to use any other paid leave available to the employee.,"The bill grants parental bereavement leave with pay to certain Maryland state employees, allowing up to 10 days for the death of a child or stillbirth, and up to 60 days for a stillbirth or infant death, without requiring the use of other paid leave.",True,2024,0,0.0,Maryland Department of Budget and Management or equivalent state agency responsible for state employee policies,"State employees in Maryland, particularly those who are parents or expecting parents","This program introduces specific paid leave for parental bereavement, which is a targeted and supportive policy for employees experiencing a child's death or stillbirth.",2,"The bill has limited direct impact on child poverty, focusing instead on employee leave rights.",1
2024 Regular Session,HB0054,Property Tax - Transfer to Heir or Legatee - Payment Plans,Exempting a grant of land transferring residential real property from the estate of a decedent to an heir or a legatee of the decedent from certain requirements for the payment of taxes on real property if the heir or legatee of the decedent enters into a payment plan to pay all the taxes due and owed on the property; exempting a grant of land that is subject to a payment plan for property taxes from certain requirements for the payment of taxes if the grantee agrees to assume the grantor's obligations under the payment plan; etc.,"The bill creates programs and legal provisions to allow homeowners, especially those inheriting residential property from a decedent, to pay their property taxes via installment plans. It establishes a statewide and local framework for installment payment programs and provides assistance through a State Tax Sale Ombudsman.",True,2024,0,0.0,Maryland State Department of Assessments and Taxation and County or Municipal Tax Collectors,"Homeowners, especially heirs of decedents, and property tax authorities in Maryland","The bill employs a new approach by establishing a state-level taxpayer ombudsman and a vendor-operated installment program, and by providing specific protections for taxpayers in the inheritance process.",4,The bill has potential to reduce child poverty indirectly by alleviating financial burdens related to property taxes for vulnerable families.,3
2024 Regular Session,HB0055,Maryland Commission on Veterans and Military Families,"Establishing the Maryland Commission on Veterans and Military Families to study developing and implementing a statewide strategic plan to make Maryland the best state for veterans and military families, including legislative and budgetary recommendations; requiring the Commission to consult with the Office of Military and Federal Affairs and the Maryland Military Installation Council as part of the study process; and requiring the Commission to report its findings to the Governor and the General Assembly by December 1, 2024.","The bill establishes the Maryland Commission on Veterans and Military Families to study and develop a strategic plan to make Maryland the best state for veterans and military families, including making legislative and budget recommendations.",True,2024,2025,0.0,Maryland Department of Veterans Affairs,"Veterans, military families, advocacy groups, state government","The bill creates a commission to study and recommend strategies, including setting key performance indicators for state comparison, which is a collaborative planning approach.",3,"The primary focus is on strategic planning for veterans and military families, with indirect potential to impact child poverty through improved services.",2
2024 Regular Session,HB0060,Rehabilitation Services - Disability - Definition,"Altering the definition of ""disability"" relating to the provision of rehabilitation services in the State to align with the federal Rehabilitation Act of 1973; and defining ""disability"" as any physical or mental impairment that constitutes or results in a substantial impediment to employment or independent living.","This bill amends the definition of ""disability"" related to rehabilitation services in Maryland to align with federal law, specifying that disability includes any physical or mental impairment that substantially hampers employment or independent living.",True,2024,2024,0.0,Maryland Department of Education or relevant rehabilitation services agencies,Individuals with physical or mental impairments seeking rehabilitation services,"The bill updates the legal definition of disability to align with federal standards, which may improve consistency in services and legal protections.",2,"The bill has limited direct impact on child poverty but can improve access to rehabilitation for vulnerable populations, potentially affecting their economic independence.",2
2024 Regular Session,HB0062,State Employee Rights and Protections - Personnel Actions and Harassment - Investigation of Complaints,"Increasing, from 30 days to 60 days, the time period during which an investigation must be conducted and a written decision must be issued regarding a complaint filed by an applicant or employee alleging discrimination or harassment by an employer; and authorizing certain applicants and employees to provide written authorization to increase by an additional 30 days the time period during which an investigation of a complaint and a written decision must be completed.","This bill increases the maximum duration for investigations of complaints by state employees regarding discrimination or harassment from 30 days to 60 days, with an option to extend by an additional 30 days if the complainant provides written authorization.",False,2024,2024,0.0,Maryland State Personnel and Pensions Department,Maryland state employees and applicants filing complaints of discrimination or harassment,"The bill introduces a flexible extension process for complaint investigations, allowing written authorization from complainants to extend the investigation period.",2,The bill does not directly impact child poverty but improves employee protections within the state government.,1
2024 Regular Session,HB0063,Property Tax - Credit for Dwelling House of Disabled Veterans - Alterations,"Altering eligibility for a certain property tax credit against the county or municipal corporation property tax on the dwelling house of certain disabled veterans to include individuals who have been declared by the U.S. Department of Veterans Affairs to have a nonpermanent service-connected disability of 100% that results from blindness or any other disabling cause; authorizing a county or municipal corporation, notwithstanding certain provisions of the Act, to enact a law limiting eligibility for the tax credit; etc.","The bill amends Maryland law to expand eligibility for a property tax credit for disabled veterans, including those with nonpermanent service-connected disabilities of 100%. It also allows local governments to limit eligibility based on certain criteria.",False,2024,9999,0.0,Maryland local governments (cities and counties) for implementing property tax credits,Disabled veterans and their families in Maryland,"The bill mostly makes legal and eligibility rule changes, with some local discretion; it does not introduce new technological or innovative approaches.",1,The bill is unlikely to have a direct impact on child poverty.,1
2024 Regular Session,HB0066,"Property Tax Credits - Public School Employees, Health and Safety Improvements, and Property Used for Local Housing Programs","Authorizing the Mayor and City Council of Baltimore City or the governing body of a county or municipal corporation to grant, by law, a certain property tax credit for certain residential real property owned by a public school employee under certain circumstances; authorizing the Mayor and City Council of Baltimore City or the governing body of a county or municipal corporation to grant, by law, a certain property tax credit for certain buildings if the owner made certain health or safety improvements on or after July 1, 2024; etc.","This bill authorizes local governments in Maryland to grant property tax credits for various purposes, including for public school employees' primary residences, health and safety improvements in apartment or condominium buildings, and property used in local housing programs for the homeless, starting from July 1, 2024.",False,2024,2024,0.0,Local governments in Maryland (Baltimore City and other counties/municipalities),"Public school employees, residents of apartment and condominium buildings, homeless individuals and families, property owners, and local governments","The bill employs local government authority to create targeted property tax credits for specific community improvements and social programs, which is a standard approach and not particularly innovative.",2,The program has moderate potential to impact child poverty by supporting affordable housing initiatives related to homelessness and improving living conditions for residents.,3
2024 Regular Session,HB0067,"Insurance - Penalties - Unauthorized Insurers, Insurance Producers, and Public Adjusters","Altering the maximum civil penalty to which an unauthorized insurer or person that violates certain provisions of State insurance law is subject for each violation; and altering the maximum civil penalty that the Maryland Insurance Commissioner may impose, in addition to suspending or revoking the license, on the holder of an insurance producer license or a public adjuster licensee for each violation of State insurance law.","The bill increases civil penalties for violations involving unauthorized insurers and individuals violating insurance laws, and modifies licensing rules for insurance producers and public adjusters, including penalties and reporting requirements.",False,2024,2024,0.0,Maryland Insurance Administration,"Insurance professionals, consumers, regulatory authorities",The bill mainly updates penalties and licensing rules; it does not introduce new services or innovative approaches.,1,The bill does not directly target child poverty but may indirectly impact consumers' financial stability.,1
2024 Regular Session,HB0068,"Continuing Care Retirement Communities - Transparency, Grievances, and Unit Reoccupancy","Requiring a provider to post the provider's most recent disclosure statement on the provider's website; increasing from yearly to quarterly the number of times a provider is required to hold a meeting open to all the provider's subscribers; requiring at the last quarterly meeting of the year an officer of the provider to give an aggregated, deidentified summary of internal grievances; requiring a provider to submit a written report to a subscriber or a beneficiary if the subscriber's unit has not been reoccupied within 9 months; etc.","The bill updates regulations for continuing care retirement communities in Maryland, including transparency, grievance procedures, governance, and refund policies. It requires public posting of disclosure statements, regular elections of subscriber members to governing bodies, improved grievance handling, and tracking of refund and reoccupancy data.",False,2024,2024,0.0,Department of Aging,Residents of continuing care retirement communities and their families in Maryland,"The bill enhances transparency and accountability through mandated disclosures, regular meetings, and grievance procedures, but does not employ new technologies or approaches.",2,"The bill's provisions improve resident protections and transparency, which may indirectly benefit vulnerable populations but have limited direct impact on child poverty.",2
2024 Regular Session,HB0075,Higher Education - Teacher Development and Retention Program - Alterations,"Altering the definition of ""institution of initial eligibility"" to include community colleges as eligible institutions as part of the criteria for applicants for the Teacher Development and Retention Program; altering the evaluation requirements for the Program; requiring the Higher Education Commission to conduct an evaluation of the effectiveness of the Program and report the results to the Governor and the General Assembly by January 1, 2030; and altering the termination date from June 30, 2029 to June 30, 2030.","The bill expands and renews the Maryland Teacher Development and Retention Program, including adding community colleges as eligible institutions, modifying participation years, and extending the program's duration and funding provisions to support future teachers in high-need areas.",True,2024,2030,0.0,Maryland State Department of Education,"prospective and current teachers, students in high-need schools, and high-need school communities","The program introduces targeted financial stipends and experiential learning opportunities to encourage teaching careers in shortage areas, with an emphasis on community colleges and early-stage support.",3,The program has a significant potential to reduce child poverty by addressing teacher shortages in high-need schools and supporting future teachers early in their careers.,4
2024 Regular Session,HB0076,Health Occupations - Pharmacists - Administration of Vaccines,Authorizing a pharmacist to order and administer certain vaccinations to individuals in certain age groups if certain requirements are met; altering the vaccinations that a pharmacist can administer to individuals at least 3 years old; and altering the circumstances under which a pharmacist may administer certain vaccinations.,"The bill authorizes pharmacists in Maryland to order and administer certain vaccinations to specific age groups, including influenza, COVID-19, and other vaccines in response to public health emergencies, under specified training, certification, and reporting requirements.",True,2024,2024,0.0,Maryland Board of Pharmacy,"Children, adolescents, and adults who receive vaccinations through pharmacists in Maryland","The bill enhances the role of pharmacists by allowing them to directly administer certain vaccines to broader age groups, using training and protocols, thus increasing access to vaccinations and modernizing pharmacy-based healthcare services.",4,"The program could improve health access and outcomes, potentially reducing disparities linked to vaccine availability, thereby having a positive impact on child poverty levels.",3
2024 Regular Session,HB0078,Maryland Environmental Service – Governance and Requirements,"Authorizing the Secretary of the Board of Directors of the Maryland Environmental Service to delegate certain responsibilities to an employee of the Service; altering the obligations of the Service after receiving a request for services and after entering into a contract;  requiring that an audit be made of the financial books, records, and accounts of the Service by November 15 each year; and requiring the Service to report to the Governor and the General Assembly on its activities by November 15 each year.","The bill makes changes to the governance, responsibilities, reporting requirements, and audit deadlines for the Maryland Environmental Service, including adjusting the quorum threshold for the board and delegating certain secretary responsibilities to employees.",False,2024,2024,0.0,Maryland Environmental Service,Residents and government agencies interacting with the Maryland Environmental Service,The bill primarily updates operational rules and responsibilities for a state agency and does not introduce new technological approaches or innovative programs.,1,The bill has minimal direct impact on child poverty as it mainly concerns governance and accountability of a state environmental agency.,1
