YearAndSession,BillNumber,Title,Synopsis,bill_summary,responsible_party,stakeholders,decrease_small_business_failure_summary,decrease_small_business_failure_score
2023 Regular Session,HB0014,Family Law - Grounds for Divorce,Repealing the authority of the court to decree a limited divorce; and altering certain grounds for an absolute divorce.,"The bill repeals the authority for courts to grant limited divorces and modifies the grounds for absolute divorces in Maryland, including reducing the separation period required for divorce from 12 months to 6 months.",Maryland Family Law Courts and the Maryland Judiciary,"Individuals seeking divorce in Maryland, their families, and legal practitioners involved in family law cases.",The bill primarily affects family law procedures and does not have a direct impact on small business failure rates.,1.0
2023 Regular Session,HB0016,Primary and Secondary Education – Title IX – Notice (Hear Our Voices Act),"Requiring each public school to provide information to students, faculty, staff, and parents regarding who serves as the Title IX coordinator for the school, the process in place for filing a sexual misconduct complaint, and the support measures that are in place for filing a sexual misconduct complaint and how to access the support measures.","The bill requires all public schools in Maryland to provide information to students, staff, and parents about the Title IX coordinator, the process for filing sexual misconduct complaints, and available support measures.",Public schools in Maryland,"Students, faculty, staff, and parents of public schools in Maryland",This bill does not directly impact small businesses or their failure rates.,0.0
2023 Regular Session,HB0018,Maryland General and Limited Power of Attorney Act - Alterations,"Altering a certain statutory form for a general power of attorney by including certain provisions informing the principal and agent of certain matters, granting general authority with respect to tangible personal property and trusts and estates, authorizing the principal to grant the agent certain specific powers relating to successor agents, compensation, gifts, or transfers and opening joint accounts and beneficiary designations, and clarifying the force and effect of the form; etc.","The bill updates Maryland's statutory forms for powers of attorney to include provisions related to governmental benefits, specific powers, and digital assets, and clarifies the force and effect of these forms.",Maryland Department of Health and Mental Hygiene or the Maryland State Department responsible for legal affairs and estate planning.,"Individuals in Maryland who wish to create or update powers of attorney, including seniors, persons with disabilities, and their families.","The bill primarily focuses on estate planning and powers of attorney, with no direct impact on small business failure rates.",1.0
2023 Regular Session,HB0019,State Board of Examiners of Psychologists - License and Registration Issuance and Renewals - Electronic Means,"Requiring the State Board of Examiners of Psychologists to issue electronic licenses and registrations, except under certain circumstances; requiring the Board, on an applicant's request, to print a paper copy of the verification of licensure or registration and send it by first-class mail to the address on the application; repealing the requirement that the Board include certain information on each license and registration; and requiring the Board to send renewal notices by first-class mail under certain circumstances.","The bill requires the Maryland State Board of Examiners of Psychologists to issue electronic licenses and registrations, modifies the process for sending renewal notices (allowing electronic notices and requiring mailing if electronic notices are undeliverable), and updates related licensing procedures.",Maryland State Board of Examiners of Psychologists,Psychologists licensed in Maryland and the general public who rely on licensed psychologists for services.,"The bill streamlines licensing and renewal processes through electronic means, which can reduce administrative burdens and improve efficiency for small psychology practices, potentially decreasing failure rates.",7.0
2023 Regular Session,HB0021,Property Tax - Tax Sales - Notices and Payoff Amount for Redemption,Requiring that the holder of a certificate of sale include the e-mail address of certain persons in certain notices required to be sent to certain persons with an interest in a property that is sold at a tax sale; authorizing certain persons with an interest in owner-occupied property sold at a tax sale to request the current payoff amount to redeem the property; providing that the payoff amount to redeem the property provided by the holder of the certificate to the owner of the property is valid for 30 days; etc.,"The bill requires that notices sent to interested parties in a property tax sale include an email address, and it allows owners of owner-occupied residential properties sold at tax sale to request the current payoff amount to redeem the property before a foreclosure complaint is filed.",Maryland State Department of Assessments and Taxation or local tax collector offices,"Owners of owner-occupied residential properties sold at tax sale, mortgagees, and other interested parties in property tax sales in Maryland","The bill primarily impacts individual property owners and mortgagees involved in tax sales, and does not directly target small businesses or have a significant potential to reduce small business failure rates.",1.0
2023 Regular Session,HB0023,Mobile and Manufactured Homes - Relocation Plans and Sales of Communities (Manufactured Housing Modernization Act of 2023),"Altering requirements relating to relocation plans for mobile home parks to require a plan for park residents who will be dislocated as a result of the change in land use; requiring the owner, 60 days prior to entering into a contract to sell the community, to provide notice of the terms of the offer to homeowners in the community and provide them the opportunity to purchase the housing community; requiring the Department of Housing and Community Development to list certain agencies to assist homeowners with the purchase of a community; etc.","The bill modernizes regulations concerning the sale and relocation of mobile and manufactured homes in Maryland. It establishes requirements for relocation plans when mobile home parks change land use, mandates notice and opportunity for homeowners to purchase communities during sales, and sets penalties for non-compliance.",Department of Housing and Community Development,Homeowners and residents of manufactured housing communities in Maryland,"The bill aims to protect homeowners and stabilize manufactured housing communities, which can help reduce the failure rate of small businesses operating these communities.",7.0
2023 Regular Session,HB0026,Health Occupations - Psychologists - Licensure Qualification,"Requiring an individual, in order to be licensed as a psychologist by the State Board of Examiners of Psychologists, to have a doctoral degree in psychology from a certain school or university, to have received a postdoctoral respecialization certificate from a certain department of psychology that included a minimum of 1,750 hours in supervised internship, and to have completed at least 1,500 hours postcertification advanced training hours or precertification hours of service as a registered psychology associate; etc.","The bill amends the qualifications required to become a licensed psychologist in Maryland, including updates to the definitions of doctoral degrees in psychology and the experience requirements for licensure.",Maryland State Board of Examiners of Psychologists,"Individuals seeking to become licensed psychologists in Maryland, including psychology students and professionals",The bill primarily updates licensing qualifications and does not directly impact small business failure rates.,1.0
2023 Regular Session,HB0030,"Environment - On-Site Wastewater Services - Board, Fees, and Penalties",Altering the composition of the State Board of On-Site Wastewater Professionals; clarifying and altering the distribution of certain fees and penalties; and clarifying the application of certain license requirements and penalties.,"The bill establishes licensing requirements, fee structures, and regulatory oversight for on-site wastewater professionals in Maryland. It creates a State Board to oversee licensing, sets standards for training and certification, and allocates funds for administration and enforcement.",Maryland Department of the Environment and the State Board of On–Site Wastewater Professionals,"On-site wastewater service providers, local governments, and residents in Maryland who rely on on-site sewage disposal systems.","The bill aims to formalize licensing and regulation, which can help improve industry standards and reduce failures, potentially lowering small business failure rates in this sector.",7.0
2023 Regular Session,HB0032,Maryland Food System Resiliency Council,Establishing that the Maryland Food System Resiliency Council is in the Office of Resilience in the Maryland Department of Emergency Management; and altering the process for electing a cochair of the Council.,"The bill establishes the Maryland Food System Resiliency Council within the Office of Resilience in the Maryland Department of Emergency Management, defines its membership, and sets procedures for its operation, including election of co-chairs and appointment of members.",Maryland Department of Emergency Management,"Food producers, local food organizations, farmers, food industry workers, and communities involved in food security and local food systems in Maryland.","The bill supports food industry stakeholders and local food businesses by creating a council that can develop strategies to improve food system resilience, which may help reduce small business failures.",7.0
2023 Regular Session,HB0036,Real Property – Actions to Repossess – Proof of Rental Licensure,"Requiring, in certain actions to repossess residential rental property, a landlord to submit to the clerk of the court evidence of compliance with local rental property licensure requirements and demonstrate that the landlord is compliant with the licensure requirements.","The bill requires landlords in Maryland to provide proof of compliance with local rental property licensure requirements when filing to repossess residential rental properties, and establishes procedures for demonstrating licensure status in court.","The Maryland District Court and local licensing authorities are responsible for implementing the program, with landlords required to demonstrate compliance.","Landlords, tenants, and local licensing authorities in Maryland.","By clarifying licensing requirements and procedures, the bill aims to reduce legal uncertainties and potential failures for small landlords operating rental properties.",7.0
2023 Regular Session,HB0037,Commercial Law - Consumer Protection - Telephone Solicitation (Stop the Spam Calls Act of 2023),"Prohibiting a person from making certain telephone solicitations to a certain called party in a certain manner by restricting the methods, times, and identifying information that the person making the call may utilize; providing that the Act does not apply to certain entities and circumstances; and making a violation of the Act an unfair, abusive, or deceptive trade practice that is subject to enforcement and penalties under the Maryland Consumer Protection Act.","The bill, known as the Stop the Spam Calls Act of 2023, prohibits certain types of telephone solicitations in Maryland by restricting methods, times, and caller identification practices. It aims to reduce unwanted and deceptive telemarketing calls and enforces penalties for violations under the Maryland Consumer Protection Act.",Maryland Consumer Protection Agency and Public Utilities Commission,Maryland residents and consumers who receive telemarketing calls,"The bill includes exemptions for certain business-to-business calls and charitable or political organizations, which suggests a limited direct impact on small business failure rates.",4.0
2023 Regular Session,HB0042,Courts - Judgments - Exemptions From Execution,"Exempting up to $500 in a deposit account or other accounts of a judgment debtor held by a depository institution from execution on the judgment without an election by the debtor to exempt the money; establishing procedures a depository institution is required to follow on receipt of a writ of garnishment or other levy or attachment under certain circumstances; establishing a $6,000 limit on the cumulative value of property and cash that may be exempted; etc.","The bill updates Maryland law to increase the exemption amount for funds in deposit accounts from $500 to $6,000, and establishes procedures for garnishment and execution on judgment debtor accounts, including instructions for garnishees and limits on exempted property.","Maryland courts and judicial system, specifically the sheriff's office and depository institutions handling garnishments.","Judgment debtors, creditors, banks, credit unions, and other depository institutions in Maryland.","The bill primarily affects individual debtors' exemption limits and garnishment procedures, with minimal direct impact on small business failure rates.",2.0
2023 Regular Session,HB0043,Property Tax - Tax Sales - Payment of Balance After Foreclosure,"Requiring each county to establish a process for a person entitled to  any balance over the amount required for the payment of taxes, interest, penalties, and costs of sale to claim the balance after a tax sale foreclosure; and requiring the collector of taxes for a county to notify the prior property owner, within 90 days after delivering a deed to a purchaser, of the amount of a certain balance and the process for claiming the balance.","The bill requires Maryland counties to establish a process for prior property owners to claim any remaining balance after a tax sale foreclosure, and mandates that counties notify owners of such balances and the claiming process.",County tax collectors and county governments,Prior property owners who have lost property through tax sale foreclosure,"The bill does not directly impact small businesses, but improves transparency and process for property owners, which could indirectly benefit small business owners involved in property transactions.",2.0
2023 Regular Session,HB0048,Maryland Medical Assistance Program – Collaborative Care Model Services – Implementation and Reimbursement Expansion,Repealing the Collaborative Care Pilot Program; and requiring the Maryland Department of Health to expand access to and provide reimbursement for services provided in accordance with the Collaborative Care Model under the Maryland Medical Assistance Program.,"The bill repeals the existing Collaborative Care Pilot Program and mandates the Maryland Department of Health to implement and reimburse for services based on the Collaborative Care Model across primary care settings for Medicaid recipients, expanding access to integrated somatic and behavioral health services.",Maryland Department of Health,Medicaid recipients and primary care providers in Maryland,"By expanding the Collaborative Care Model and providing reimbursement, the program aims to improve mental health and overall health outcomes, which can contribute to reducing small business failures indirectly through healthier communities and workforce stability.",6.0
2023 Regular Session,HB0053,Human Services - Maryland Statewide Independent Living Council,"Codifying the Maryland Statewide Independent Living Council as an instrumentality of the State to submit, monitor, implement, and evaluate the State Plan under the federal Rehabilitation Act in conjunction with Centers for Independent Living in the State; and requiring the Attorney General to be the legal advisor to the Council.","The bill establishes the Maryland Statewide Independent Living Council as an official state entity, with responsibilities to submit, monitor, implement, and evaluate the State Plan for Independent Living under the federal Rehabilitation Act. It creates a Board of Directors, defines its composition and appointment process, and sets operational guidelines for the Council.","The Maryland Statewide Independent Living Council, with oversight and support from the Maryland Department of Human Services and the designated State entity responsible for the State Plan for Independent Living.","People with disabilities across Maryland, community-based organizations serving them, and the broader Maryland community involved in independent living initiatives.","The bill does not directly address small business failure rates, but by establishing a formal council and operational framework, it may indirectly support community stability and inclusion.",2.0
2023 Regular Session,HB0057,Property Tax – Tax Sales – Requirement to Sell,Repealing certain limitations on the authority of certain local governments to set the time by which a property with taxes in arrears must be sold by the tax collector.,"The bill repeals certain limitations on how long local governments in Maryland can wait before selling properties with overdue taxes, allowing them more flexibility in setting the timing of tax sales.",Local government authorities and tax collectors in Maryland,"Property owners with overdue taxes, local governments, and communities affected by property tax sales",The bill primarily affects tax sale procedures and does not directly address small business failure rates.,1.0
2023 Regular Session,HB0058,Open Meetings Act - State Ethics Commission (Maryland State Agency Transparency Act of 2023),"Establishing enhanced requirements under the Open Meetings Act for the State Ethics Commission; and requiring the Department of Information Technology to provide technical staff, support, and equipment necessary to livestream the open meetings of the State Ethics Commission.","The bill enhances transparency requirements for the State Ethics Commission and other public bodies by mandating live streaming of open meetings, timely publication of agendas and minutes, and providing technical support for livestreaming.",Department of Information Technology and the State Ethics Commission,"Public bodies in Maryland, including the State Ethics Commission, and the general public interested in transparency and open government","The bill primarily focuses on transparency and open meetings, with no direct provisions aimed at reducing small business failure.",1.0
2023 Regular Session,HB0062,Land Use - Public Service Companies - Pollinator-Friendly Vegetation Management and Utility-Designated Pollinator Areas,"Prohibiting local jurisdictions from imposing any unreasonable limitations, including land use restrictions, on utility-designated pollinator areas maintained by a public service company under certain conditions; requiring certain public service companies to mow utility designated pollinator areas in a manner which minimizes disturbances to habitats; stating the intent of the General Assembly related to State and local laws regarding weed control and vegetation management by public service companies outside of pollinator areas; etc.","The bill prohibits local jurisdictions from imposing land use restrictions on public service companies maintaining pollinator-friendly vegetation in utility-designated pollinator areas, provided certain conditions are met. It also sets guidelines for how these areas should be managed to support pollinators.",Public service companies and the Maryland Department of Natural Resources,"Public service companies, pollinators, environmental conservation groups, and local governments","The bill's provisions are unlikely to have a direct impact on small business failure rates, as it primarily concerns utility vegetation management and land use restrictions.",2.0
2023 Regular Session,HB0063,Certified Local Farm and Fish Program - Establishment,Altering the Certified Local Farm Enterprise Program to be the Certified Local Farm and Fish Program; expanding the purpose of the Program to include food from certified Chesapeake invasive species providers in the overall percentage goal of 20% of the unit's total dollar value for certain procurement contracts; and altering the Certified Local Farm Enterprise Food Aggregation Grant Fund to be the Certified Local Farm and Fish Food Aggregation Grant Fund.,"The bill expands the existing Certified Local Farm Enterprise Program to include Chesapeake invasive species fish providers, sets procurement goals for food from these sources, and establishes a grant fund to support food aggregation and distribution sites across Maryland.","The Department of Agriculture, specifically the Office for the Certified Local Farm and Chesapeake Invasive Species Provider Fish Program, and the Maryland Agricultural and Resource–Based Industry Development Corporation.","Local farms, Chesapeake invasive species fish providers, state agencies involved in procurement and food distribution, and Maryland residents benefiting from local and invasive species fish products.","The program aims to support local farms and invasive species fish providers through procurement goals and grants, which could help reduce small business failures by increasing market opportunities and infrastructure support.",7.0
2023 Regular Session,HB0066,Circuit Courts and District Court - Dishonored Checks - Service Charges,Increasing the amount of the service charge from $10 to $30 that may be imposed by a circuit court or the District Court for a dishonored check.,"The bill increases the service charge for dishonored checks in Maryland courts from $10 to $30, applicable in cases where checks are not honored or are returned due to insufficient funds or closed accounts.",Maryland Courts and Judicial Proceedings Department,Individuals and businesses involved in court cases involving dishonored checks in Maryland,"The bill's increase in service charges may incentivize better check management, but its direct impact on reducing small business failure is limited.",3.0
2023 Regular Session,HB0070,Safe Access for All (SAFE) Roads Act of 2023,Requiring the Department of Transportation to implement all possible incremental near-term safety improvements as soon as practicable if a new approved pedestrian or bicycle safety construction or improvement project is projected to take more than 12 months to complete.,"The Safe Access for All (SAFE) Roads Act of 2023 requires the Maryland Department of Transportation to incorporate safety measures for pedestrians and bicycles in their projects, implement safety improvements promptly for long-term projects, and submit reports on staffing, project delays, and pedestrian crossing plans, especially in high-density and transit-dependent areas.",Maryland Department of Transportation and the State Highway Administration,"Pedestrians, bicyclists, residents of suburban activity centers and traditional town centers, and commuters in high-density and transit-dependent areas.","The bill aims to improve safety infrastructure which can lead to increased usage and safety, potentially reducing accidents and related failures for small businesses near these areas.",7.0
2023 Regular Session,HB0072,Business Regulation - Charitable Organizations,"Altering the definition of ""charitable contribution"" to exclude an authorization for or a discount on the use of certain services or materials, equipment, or facilities for purposes of provisions of law regulating charitable organizations and charitable representatives; authorizing the Maryland Secretary of State to accept certain documentation in place of an audit or review in connection with a charitable organization's registration statement; etc.","The bill amends Maryland laws regulating charitable organizations by redefining 'charitable contribution' to exclude certain property donations and service discounts, streamlining registration requirements, and allowing the Secretary of State to accept alternative documentation instead of audits or reviews for certain organizations.",Maryland Secretary of State,Charitable organizations operating in Maryland and their donors,"The bill simplifies registration and reporting processes for certain charitable organizations, which may reduce administrative burdens and improve financial stability, potentially lowering failure rates.",7.0
2023 Regular Session,HB0078,Public Schools - Anaphylactic Food Allergies - Guidelines,"Requiring each county board of education, before the start of the 2024-2025 school year, to adopt, implement, and publish guidelines in accordance with the State school health service guidelines to reduce the risk of exposure to anaphylactic major food allergens in classrooms and common areas; requiring each public school to develop a system to disclose the major food allergens contained in the foods served in the school; requiring each county board to make a good faith effort to adopt certain guidelines; etc.","The bill requires Maryland public schools to adopt and implement guidelines to reduce the risk of exposure to major food allergens for students with anaphylactic food allergies. It mandates disclosure of major food allergens in school foods, designates food-free zones, and promotes safety measures and communication strategies.",Maryland State Department of Education and Maryland Department of Health,"Students with food allergies, their parents, school staff, and school communities","The bill's focus is on school health guidelines and allergen disclosures, which are unlikely to have a direct impact on small business failure rates.",1.0
2023 Regular Session,HB0083,Property Tax - Tax Sales - Redemption,Requiring a tax collector to make certain attempts to contact a certain plaintiff or holder of a certificate of sale regarding certain expenses; and authorizing a collector to redeem certain property without a certain satisfaction letter if a plaintiff or holder of a certificate of sale fails to respond within 5 days after certain attempts by the collector to make contact.,"The bill updates procedures for tax sale redemptions in Maryland, including requiring tax collectors to attempt contact with holders of certificates of sale and allowing property to be redeemed without a satisfaction letter if there is no response after multiple contact attempts.",Maryland Department of Assessments and Taxation or local tax collectors,"Property owners, holders of certificates of sale, and local government tax authorities in Maryland",The bill's provisions primarily impact property tax processes and do not directly target small business failure rates.,2.0
2023 Regular Session,HB0086,Disclosure of Tax Information – Maryland Small Business Retirement Savings Board – Authorization,"Authorizing, subject to certain limitations, the disclosure of a business entity's federal employer identification number, name, physical address, mailing address, contact name, e-mail address, and phone number to the Maryland Small Business Retirement Savings Board and its authorized contractors for the purposes of administering the Maryland Small Business Retirement Savings Program and Trust.","The bill authorizes the Maryland Small Business Retirement Savings Board and its contractors to receive certain tax information from the Maryland Comptroller to administer the Maryland Small Business Retirement Savings Program and Trust, with specific limitations on the type of information disclosed.",Maryland Comptroller and Maryland Small Business Retirement Savings Board,Small business owners and entities in Maryland participating in the retirement savings program,"By facilitating better administration of retirement savings programs for small businesses, the bill has the potential to improve financial security and stability for small businesses, thereby reducing their failure rate.",7.0
2023 Regular Session,HB0090,Local Government - Regulatory Powers - Regulation of Invasive Bamboo,"Authorizing the governing bodies of counties and municipalities to adopt ordinances to regulate invasive bamboo, including by prohibiting a person from selling, planting, and allowing invasive bamboo to grow on the property of the person without proper upkeep and appropriate containment measures.","The bill authorizes Maryland counties and municipalities to regulate invasive bamboo, including prohibiting its sale, planting, and allowing it to grow without proper containment, to prevent its spread to neighboring properties and public areas.",County and municipal governing bodies in Maryland,"Property owners, local governments, and communities affected by invasive bamboo",The bill primarily targets invasive bamboo regulation and does not directly impact small business failure rates.,1.0
2023 Regular Session,HB0092,"Ground Leases - Collection of Rent, Interest, Fees, and Other Expenses - Registration Requirements","Establishing that ground leases or amendments that are not posted on the State Department of Assessments and Taxation's website are not considered registered or amended; prohibiting a ground lease holder from collecting or attempting to collect rent, late fees, interest, collection costs, and other expenses related to a ground lease unless the ground lease is registered with the Department; etc.","The bill establishes registration requirements for ground leases in Maryland, prohibits unregistered ground leases from collecting rent or related fees, and creates a process for resolving disputes over collection efforts through the Department of Assessments and Taxation.",Department of Assessments and Taxation,Ground lease holders and leasehold tenants in Maryland,"By clarifying legal collection practices and providing dispute resolution processes, the bill aims to reduce legal conflicts and financial failures among small businesses involved in ground leases.",7.0
2023 Regular Session,HB0093,Residential Ground Leases - Redemption and Extinguishment - Requirements,Repealing the prohibition against a tenant who is seeking to redeem or extinguish ground rent providing certain documentation and payments to the State Department of Assessments and Taxation earlier than 90 days after an application for redemption or extinguishment has been posted on the Department's website.,"The bill relaxes the process for leasehold tenants to redeem or extinguish ground rents by removing the 90-day waiting period after application posting, and clarifies procedures and fees involved in the process.",State Department of Assessments and Taxation,"Leasehold tenants, ground lease holders, property owners, and local governments in Maryland","The bill simplifies and streamlines the process for ground rent redemption, potentially reducing legal and administrative barriers for property owners and tenants, which may contribute to increased property stability and reduced failure of small property-related businesses.",7.0
2023 Regular Session,HB0098,Condominiums - Mandatory Insurance Coverage - Alterations,Altering the types of elements and units for which a council of unit owners is required to maintain certain property insurance and altering certain requirements for the property insurance policy; and requiring owners of detached units to carry homeowners insurance on the entirety of the unit.,"The bill updates Maryland law to specify mandatory insurance requirements for condominiums, including property and liability insurance, and mandates that owners of detached units carry homeowners insurance on the entire unit. It clarifies the types of elements that must be insured and the responsibilities of the council of unit owners and individual owners.",The council of unit owners and the Maryland Department of Housing and Community Development.,"Condominium unit owners, detached homeowners, and residents of condominiums in Maryland.","The bill's focus on insurance requirements for condominiums and detached units can help reduce financial risks associated with property damage, potentially lowering the failure rate of small condominium associations and individual homeowners.",6.0
